Species name,Group,Source,Age (in Mya),Envronement (terrestrial/aquatic),Body length (m),Body mass (kg),"Diet (herbivore, omnivore,carnivore, small stuff eater)",Head presence,Head projections,Head surface,Head function,Body presence,Body projections,Body surface,Body function,Tail presence,Tail projections,Tail surface,Tail function,0tes
Hardistiella_montanensis,Cyclostome,"Janvier, P. & Lund, R. Hardistiella montanensis n. gen. et sp. (Petromyzontida) from the Lower Carboniferous ofMontana, with remarks on the affinities of the lampreys. J. Vertebr. Paleontol. 2, 407_-413 (1983).",323,Marine,0.15,NA,Small,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,Redo body length +weight
Acanthodes lundi,NA,"Zidek, J. 1980.ÊAcanthodes lundi, new species (Acanthodii) and associatedÊÊcoprolites from uppermost Mississippian Heath Formation of CentralÊÊMontana. Annals of Carnegie Museum 49: 49_78.",323,Marine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0t got paper yet
Bealbonn rogaire,Petalodont,"Lund, R., and E.D. Grogan, 2004. Five new euchondrocephalan Chondrichth1 from the Bear Gulch Limestone (Serpukhovian, Namurian E2b) ofÊMontana,ÊUSA. Part 2, p. 505-532,ÊinÊArratia, G., Wilson, M.V.H. and Cloutier, R. (eds), Recent advances in the origin and early radiation of vertebrates, Verlag Dr. Friedrich Pfeil, MŸnchen.",323,Marine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0t got paper yet
Gregorius rexi,Petalodont,"Lund, R., and E.D. Grogan, 2004. Five new euchondrocephalan Chondrichth1 from the Bear Gulch Limestone (Serpukhovian, Namurian E2b) ofÊMontana,ÊUSA. Part 2, p. 505-532,ÊinÊArratia, G., Wilson, M.V.H. and Cloutier, R. (eds), Recent advances in the origin and early radiation of vertebrates, Verlag Dr. Friedrich Pfeil, MŸnchen.",323,Marine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0t got paper yet
Srianta dawsoni,Petalodont,"Lund, R., and E.D. Grogan, 2004. Five new euchondrocephalan Chondrichth1 from the Bear Gulch Limestone (Serpukhovian, Namurian E2b) ofÊMontana,ÊUSA. Part 2, p. 505-532,ÊinÊArratia, G., Wilson, M.V.H. and Cloutier, R. (eds), Recent advances in the origin and early radiation of vertebrates, Verlag Dr. Friedrich Pfeil, MŸnchen.",323,Marine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0t got paper yet
Srianta iarlis,Petalodont,"Lund, R., and E.D. Grogan, 2004. Five new euchondrocephalan Chondrichth1 from the Bear Gulch Limestone (Serpukhovian, Namurian E2b) ofÊMontana,ÊUSA. Part 2, p. 505-532,ÊinÊArratia, G., Wilson, M.V.H. and Cloutier, R. (eds), Recent advances in the origin and early radiation of vertebrates, Verlag Dr. Friedrich Pfeil, MŸnchen.",323,Marine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0t got paper yet
Srianta srianta,Petalodont,"Lund, R., and E.D. Grogan, 2004. Five new euchondrocephalan Chondrichth1 from the Bear Gulch Limestone (Serpukhovian, Namurian E2b) ofÊMontana,ÊUSA. Part 2, p. 505-532,ÊinÊArratia, G., Wilson, M.V.H. and Cloutier, R. (eds), Recent advances in the origin and early radiation of vertebrates, Verlag Dr. Friedrich Pfeil, MŸnchen.",323,Marine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0t got paper yet
Debeerius ellefseni,Debeeridae,"Grogan and Lund 2000 Debeerius ellefseni ( Fam . 0v ., Gen . 0v ., Spec . 0v .), an Autodiastylic Chondrichthyan From the Mississippian Bear Gulch Limestone of Montana ( USA ), the Relationships of the Chondrichth1 , and Comments on Gnathostome Evolution",323,Marine,0.21,NA,Small things,0,0,0,NA,1,1,0,Fin spine,0,0,0,NA,NA
Heteropetalus elegantulus,Debeeridae,"Lund, R. 1977. A new petalodont (Chondrichth1, Bradyodonti) from the Upper Mississippian of Montana. Annals of Carnegie Museum 46: 129_155.",323,Marine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belantsea montana,Petalodont,Lund 1989New petalodonts (Chondrichth1) from the Upper Mississippian Bear Gulch Limestone (Namurian E 2 b) of Montana,323,Marine,0.24,NA,Durophagous,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA
Harpacanthus fimbriatus,Holocephalans,"Lund and Grogan 2004 Two tenaculum bearing Holocephalomorpha (Chondrichth1) from the Bear Gulch Limestone (Chesterian, Serpukhovian) of Montana (USA)",323,Marine,0.38,NA,Durophagous,1,1,0,Denticulated wafty things - probably sexually selected as abent in female,0,NA,NA,NA,0,NA,NA,NA,NA
Delphyodontos dacriformes,Holocephalans,"Lund, R. 1980. Viviparity and intrauterine feeding in a new holocephalan fish from the Lower Carboniferous of Montana. Science, 209: 697_699",323,Marine,0.035,NA,Small things,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,"This is probably a fetus, so should likely be excluded"
Harpagofututor volsellorhinus,Holocephalans,"Lund 1982 Harpagofutator volsellorhinus new genus and species (Chondrichth1, Chondrenchelyformes) from the Naurian Bear Gulch Limestone, Chondrenchelys problematica Traquair (Visean) and their sexual dimorphism",323,Marine,0.1,NA,Durophagous,1,1,0,Likely sexually selected denticulated appendages only present in male,0,NA,NA,NA,0,NA,NA,NA,"Figured fish are 10cm long, but description says grows up to 170mm - which to choose?"
Echi0chimaera meltoni,Holocephalans,"Lund 1985 Echi0chimaera meltoni, new genus and species (Chimaeriformes), from the Mississippian of Montana",323,Marine,0.15,NA,Little cutting teeth,1,1,0,Poss sexualy dimorphic,1,1,0,Fin spine,0,NA,NA,NA,NA
Echi0chimaera snyderi,Holocephalans,"Lund, R. 1988. New Mississippian Holocephali (Chondrichth1) and the evolution of the Holocephali.ÊInÊTeeth Revisited: Proceedings of the VII Int. Symp. on Dental Morph.,ÊParis, May 1986, Russell, D. E., Santoro, J. P. and Sigogneau_Russell, D., Eds., Mem. Mus. Natn. Hist. Nat., Paris, (serie C) 53:195_205.",323,Marine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Traquairius agkistrocephalus,Holocephalans,"Lund, R., andÊE.D. Grogan, 1997. ""Cochliodonts from the Mississippian Bear Gulch Limestone Heath Formation; Big S0wy Group, Chesterian) of Montana and the relationships of the Holocephali.""ÊDi0fest International Symposium, Proceedings: 477-492.",323,Marine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Traquairius nudus,Holocephalans,"Lund and Grogan 2004 Two tenaculum bearing Holocephalomorpha (Chondrichth1) from the Bear Gulch Limestone (Chesterian, Serpukhovian) of Montana (USA)",323,Marine,HEAD 0.0375,NA,Durophagous,1,1,1,Possibly sexually selected,?,?,?,?,?,?,?,?,Only a head
Traquairius spi0sus,Holocephalans,"Lund, R., andÊE.D. Grogan, 1997. ""Cochliodonts from the Mississippian Bear Gulch Limestone Heath Formation; Big S0wy Group, Chesterian) of Montana and the relationships of the Holocephali.""ÊDi0fest International Symposium, Proceedings: 477-492.",323,Marine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Damocles serratus,Stethacanthid,"Lund 1986 On Damocles serratus , 0v. gen. et sp. (Elasmobranchii: Cladodontida) from the Upper Mississippian Bear Gulch Limestone of Montana",323,Marine,0.1,NA,Small things,1,1,0,Probs sexually selected - match up with big fin thing,1,1,0,Big handlething with denticles,0,NA,NA,NA,Length taken from longest articulated speciemen
Falcatus falcatus,Stethacanthid,"Lund 1985 The morphology of Falcatus falcatus ( St . John and Worthen ), a Mississippian stethacanthid chondrichthyan from the Bear Gulch Limestone of Montana",323,Marine,0.145,NA,Small things,0,NA,NA,NA,1,1,0,Fin thing - probs dimorphic,0,NA,NA,NA,NA
Orestiacanthus fergusi,Stethacanthid,"Lund, R. 1984. ""On the spines of the Stethacanthidae (Chondrichth1), with a description of a new genus from the Mississippian Bear Gulch Limestone.""ÊGeobios, 17, fasc. 3: 281-295.",323,Marine,HEAD 0.02,NA,Small things,0,NA,NA,NA,1,1,0,Fin thing - probs dimorphic,0,NA,NA,NA,NA
Stethacanthus altonensis,Stethacanthid,"Lund, R. 1974. ""Stethacanthus altonensisÊ(Elasmobranchii) from the Bear Gulch Limestone of Montana.""ÊAnn. Carnegie MuseumÊ45: 161-178.",323,Marine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Squatinactis montanus,Cladodont,"Lund and Zangerl 1974 Squatinactis caudispinatus, a new elasmobranch from the Upper Mississippian of Montana",323,Marine,"? ""2 feet""",NA,Small things,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA
Paratarrasius hibbardi,Acti0pt,"Lund, R., and W. G. Melton jr., 1982. ""A new acti0pterygian fish from the Mississippian Bear Gulch Limestone of Montana",323,Marine,0.136,NA,Small things,1,0,1,Dermal plates,0,NA,NA,NA,0,NA,NA,NA,This is covered in (comparatively) large scales like other Palaeozoic osteichthyans - is this armour?
Discoserra pecti0don,Acti0pt,"Lund, R. 2000. ""The new acti0pterygian order Guildayichthyiformes from the Lower Carboniferous of Montana (USA)"".ÊGeodiversitasÊ(MNHN, Paris) 22 (2): 171-206.",323,Marine,0.0585,NA,Small things,1,0,1,Dermal plates,0,NA,NA,NA,0,NA,NA,NA,This is covered in (comparatively) large scales like other Palaeozoic osteichthyans - is this armour?
Guildayichthys carnegiei,Acti0pt,"Lund, R. 2000. ""The new acti0pterygian order Guildayichthyiformes from the Lower Carboniferous of Montana (USA)"".ÊGeodiversitasÊ(MNHN, Paris) 22 (2): 171-206.",323,Marine,HEAD 0.0195,NA,Small things,1,0,1,Dermal plates,0,NA,NA,NA,0,NA,NA,NA,This is covered in (comparatively) large scales like other Palaeozoic osteichthyans - is this armour?
Aesopichthys erinaceus,Acti0pt,"Poplin, C., & R. Lund. 2000. ""Two new deep-bodied acti0pterygians from Bear Gulch, (Montana, USA, Lower Carboniferous).""ÊJournal of Vertebrate Paleontology20: 428-449",323,Marine,0.09,NA,Small things,1,0,1,Dermal plates,0,NA,NA,NA,0,NA,NA,NA,This is covered in (comparatively) large scales like other Palaeozoic osteichthyans - is this armour?
Cyra0rhis bergeraci,Acti0pt,"Lund, R. and C. Poplin. 1997. ""The rhadinichthyids (paleoniscoid acti0pterygians) from the Bear Gulch Limestone of Montana.""ÊJournal of Vertebrate. Paleontology17:466-486.",323,Marine,0.1,NA,Small things,1,0,1,Dermal plates,0,NA,NA,NA,0,NA,NA,NA,This is covered in (comparatively) large scales like other Palaeozoic osteichthyans - is this armour?
Kalops mo0phrys,Acti0pt,"Poplin, C., & R. Lund. 2002. ""Two Carboniferous fine-eyed paleoniscoids (Pisces, Acti0pterygii) from Bear Gulch (USA).""ÊJournal of PaleontologyÊ76: 1014-1028.",323,Marine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kalops diophrys,Acti0pt,"Poplin, C., & R. Lund. 2002. ""Two Carboniferous fine-eyed paleoniscoids (Pisces, Acti0pterygii) from Bear Gulch (USA).""ÊJournal of PaleontologyÊ76: 1014-1028.",323,Marine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Proceramela montanensis,Acti0pt,"Poplin, C., & R. Lund. 2000. ""Two new deep-bodied acti0pterygians from Bear Gulch, (Montana, USA, Lower Carboniferous).""ÊJournal of Vertebrate Paleontology20: 428-449.",323,Marine,0.135,NA,Small things,1,0,1,Dermal plates,0,NA,NA,NA,0,NA,NA,NA,This is covered in (comparatively) large scales like other Palaeozoic osteichthyans - is this armour? Size of holotype
Wendyichthys dicksoni,Acti0pt,"Lund, R. and C. Poplin. 1997. ""The rhadinichthyids (paleoniscoid acti0pterygians) from the Bear Gulch Limestone of Montana.""ÊJournal of Vertebrate. PaleontologyÊ17:466-486",323,Marine,0.1125,NA,Small things,1,0,1,Dermal plates,0,NA,NA,NA,0,NA,NA,NA,This is covered in (comparatively) large scales like other Palaeozoic osteichthyans - is this armour? Size of holotype
Allenypterus montanus,Coelacanth,Lund and Lund 1984,323,Marine,0.152,NA,Small things,1,0,1,Dermal head plates,0,NA,NA,NA,0,NA,NA,NA,Size is a maximum
Caridosuctor populosum,Coelacanth,Lund and Lund 1984,323,Marine,0.217,NA,Small things,1,0,1,Dermal head plates,0,NA,NA,NA,0,NA,NA,NA,Size is a maximum
Hadronector donbairdi,Coelacanth,Lund and Lund 1984,323,Marine,0.108,NA,Small things,1,0,1,Dermal head plates,0,NA,NA,NA,0,NA,NA,NA,Size is a maximum
Polyosteorhynchus beargulchensis,Coelacanth,Lund and Lund 1984,323,Marine,0.186,NA,Small things,1,0,1,Dermal head plates,0,NA,NA,NA,0,NA,NA,NA,Size is an estimated maximum
