Species name,Group,Source,Age (in Mya),Envronement (terrestrial/aquatic),Body length (m),Body mass (kg),"Diet (herbivore, omnivore,carnivore, small stuff eater)",Head presence,Head projections,Head surface,Head function,Body presence,Body projections,Body surface,Body function,Tail presence,Tail projections,Tail surface,Tail function,notes
,CHONDRICTHYES,,,,,,,,,,,,,,,,,,,
,CHONDRICTHYES,,,,,,,,,,,,,,,,,,,
,CHONDRICTHYES,,,,,,,,,,,,,,,,,,,
,CHONDRICTHYES,,,,,,,,,,,,,,,,,,,
,OSTEICHTHYES,,,,,,,,,,,,,,,,,,,
,OSTEICHTHYES,,,,,,,,,,,,,,,,,,,
,OSTEICHTHYES,,,,,,,,,,,,,,,,,,,
,OSTEICHTHYES,,,,,,,,,,,,,,,,,,,
,OSTEICHTHYES,,,,,,,,,,,,,,,,,,,
,ANURA,,,,,,,,,,,,,,,,,,,
,CAUDATA,,,,,,,,,,,,,,,,,,,
,CAUDATA,,,,,,,,,,,,,,,,,,,
,CAUDATA,,,,,,,,,,,,,,,,,,,
Plesiobaena antiqua,TESTUDINES,,,,,,,,,,,,,,,,,,,
Baenidae indeterminate,TESTUDINES,,,,,,,,,,,,,,,,,,,
Chelydridae indeterminate,TESTUDINES,,,,,,,,,,,,,,,,,,,
Adocus,TESTUDINES,,,,,,,,,,,,,,,,,,,
Basilemys sinuosa,TESTUDINES,,,,,,,,,,,,,,,,,,,
Kinosternidae indeterminate,TESTUDINES,,,,,,,,,,,,,,,,,,,
Macrobaenidae indeterminate,TESTUDINES,,,,,,,,,,,,,,,,,,,
Helopanoplia distincta,TESTUDINES,,,,,,,,,,,,,,,,,,,
Trionychidae indeterminate,TESTUDINES,,,,,,,,,,,,,,,,,,,
Compsemys victa,TESTUDINES,,,,,,,,,,,,,,,,,,,
Lepidosauria indeterminate,LEPIDOSAURIA,,,,,,,,,,,,,,,,,,,
Champsosaurus sp.,CHORISTODERA,,,,,,,,,,,,,,,,,,,
Brachychampsa montana,CROCODILIA,,,,,,,,,,,,,,,,,,,
Leidyosuchus sternbergi,CROCODILIA,,,,,,,,,,,,,,,,,,,
Thoracosaurus neocesariensis,CROCODILIA,,,,,,,,,,,,,,,,,,,
,PTEROSAURIA,,,,,,,,,,,,,,,,,,,
,ORNITHISCHIA,,,,,,,,,,,,,,,,,,,
,ORNITHISCHIA,,,,,,,,,,,,,,,,,,,
,ORNITHISCHIA,,,,,,,,,,,,,,,,,,,
,ORNITHISCHIA,,,,,,,,,,,,,,,,,,,
,ORNITHISCHIA,,,,,,,,,,,,,,,,,,,
,SAURISCHIA,,,,,,,,,,,,,,,,,,,
,SAURISCHIA,,,,,,,,,,,,,,,,,,,
,SAURISCHIA,,,,,,,,,,,,,,,,,,,
,SAURISCHIA,,,,,,,,,,,,,,,,,,,
,SAURISCHIA,,,,,,,,,,,,,,,,,,,
,SAURISCHIA,,,,,,,,,,,,,,,,,,,
,SAURISCHIA,,,,,,,,,,,,,,,,,,,
,SAURISCHIA,,,,,,,,,,,,,,,,,,,
,SAURISCHIA,,,,,,,,,,,,,,,,,,,
,AVES,,,,,,,,,,,,,,,,,,,
Cimolodon_nitidus,Mammalia,body size from Wilson et al 2013,66.8Ð66,terrestrial,,0.18,omnivore,0,0,0,NA,0,0,0,NA,0,0,0,NA,only from teeth and skul fragments
Cimolodon_sp,Mammalia,,66.8Ð66,terrestrial,,,omnivore,0,0,0,NA,0,0,0,NA,0,0,0,NA,only from teeth and skul fragments
Meniscoessus_robustus,Mammalia,body size from Wilson et al 2013,,,,1.2,,,,,,,,,,,,,,
Meniscoessus_sp.,Mammalia,,,,,,,,,,,,,,,,,,,
Mesodma_thompsoni,Mammalia,body size from Wilson et al 2013,,,,0.05,,,,,,,,,,,,,,
Gypsonictops_illuminatus,Mammalia,body size from Wilson et al 2013,,,,0.06,,,,,,,,,,,,,,
Cimolestes_magnus,Mammalia,body size from Wilson et al 2013,,,,0.57,,,,,,,,,,,,,,
Didelphodon_vorax,Mammalia,body size from Wilson et al 2013,,,,1.72,,,,,,,,,,,,,,
Didelphodon_sp.,Mammalia,,,,,,,,,,,,,,,,,,,
Pediomys_florencae,Mammalia,,,,,,,,,,,,,,,,,,,
Pediomys_cf._P_florencae,Mammalia,,,,,,,,,,,,,,,,,,,
Alphadon_marshi,Mammalia,body size from Wilson et al 2013,,,,0.087,,,,,,,,,,,,,,
,Mammalia,,,,,,,,,,,,,,,,,,,
,Mammalia,,,,,,,,,,,,,,,,,,,
