Species name,Group,Age (in Mya),Envronement (terrestrial/aquatic),Source,Body length (m),Body mass (kg),"Diet (herbivore, omnivore,carnivore, small stuff eater)",Head presence,Head projections,Head surface,Head function,Body presence,Body projections,Body surface,Body function,Tail presence,Tail projections,Tail surface,Tail function,Notes
Uraniacanthus probaton,Acanthodiii,419-410,Marine,NA,0.056,NA,Small things,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tetanopsyrus lindoei,Acanthodiii,419-410,Marine,NA,0.043,NA,Small things,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tetanopsyrus breviacanthus,Acanthodiii,419-410,Marine,NA,0.042,NA,Small things,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lupopsyrus pygmaeus,Acanthodiii,419-410,Marine,NA,0.044,NA,Small things,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lupopsyroides macracanthus,Acanthodiii,419-410,Marine,NA,0.014 PELV to ANAL,NA,Small things,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Length pelvis to anal fin
Paucicanthus vanelsti,Acanthodiii,419-410,Marine,NA,0.039,NA,Small things,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Obtusacanthus corroconis,Acanthodiii,419-410,Marine,NA,0.081 NOSE TO TAIL BASE,NA,Small things,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Length nose to tail base
Promesacanthus eppleri,Acanthodiii,419-410,Marine,Hanke (2008),0.038,NA,Small things,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cassidiceps vermiculatus,Acanthodiii,419-410,Marine,NA,NA,NA,Small things,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Get length
Kathemacanthus rosulentus,Acanthodiii,419-410,Marine,NA,0.06 PEC  TO ANAL,NA,Small things,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Length pec to anal
Seretolepis elegans,Acanthodiii,419-410,Marine,NA,0.014PEC TO ANAL,NA,Small things,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Legth pec to anal
Brochoadmones milesi,Acanthodiii,419-410,Marine,Hanke and Wilson (2006),0.12,NA,Small things,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Superciliaspis gabrielsi,Osteostraci,419-410,Marine,Scott and Wilson (2014),0.107,NA,Small things,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
