Species name,Group,Oldest Age (in Mya),Youngest Age (in Mya),Environement (terrestrial/aquatic),Body length (m),Body mass (kg),"Diet (herbivore, omnivore, carnivore, small stuff eater)",Head presence (1/0),Head projections (1/0),Head surface (1/0),Head function (NA/foraging/sexual/other),Body presence (1/0),Body projections (1/0),Body surface (1/0),Body function (NA/foraging/sexual/other),Tail presence (1/0),Tail projections (1/0),Tail surface (1/0),Tail function (NA/foraging/sexual/other),Notes,Source,BM (source)
Hulettia_hawesi,Actinopterygii,167.7,164.7,aquatic,,<1,Invert/Carnivore,1,0,0,NA,1,0,1,NA,1,0,0,NA,thick interlocking scales on body,Kirkland_1998,Foster2003_Table_5
Morrolepis_schaefferi,Actinopterygii,,,aquatic,,<1,Invert/Carnivore,1,0,0,NA,1,0,0,NA,1,0,0,NA,,Kirkland_1998,Foster2003_Table_5
Amiiformes,Actinopterygii,,,aquatic,,1.1,Carnivore,0,NA,NA,NA,1,0,0,NA,0,0,0,NA,only vertabrate are present,Kirkland_1998,Foster2003_Table_5
Pycnodontoidea,Actinopterygii,,,aquatic,,<1,Invertivore,0,0,0,NA,0,0,0,NA,0,0,0,NA,broken tooth,Kirkland_1998,Foster2003_Table_5
cf_Leptolepis,Actinopterygii,,,aquatic,1.2,<1,Invert/Carnivore,0,0,0,NA,1,0,0,NA,1,0,0,NA,lacking dorsal portion of skull,Kirkland_1998,Foster2003_Table_5
Ceratodus_guentheri,Osteichthyes,,,aquatic,,3,Invert/Carnivore,0,0,0,NA,0,0,0,NA,0,0,0,NA,only_tooth_plate_present,Kirkland_1998,Foster2003_Table_5
Ceratodus_robustus,Osteichthyes,,,aquatic,,24,Invert/Carnivore,0,0,0,NA,0,0,0,NA,0,0,0,NA,only_tooth_plate_present,Kirkland_1998,Foster2003_Table_5
Enneabatrachus_hechti,Anura,,,semiaquatic,,<1,Invertivore,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,only limb element is present,,Foster2003_Table_5
Rhadinosteus_parvus,Anura,,,semiaquatic,0.0127,<1,Invertivore,1,0,0,NA,1,0,0,NA,1,0,0,NA,well preserved however not a fully metamophisied adult,,Foster2003_Table_5
Pelobatidae,Anura,,,semiaquatic,,<1,Invertivore,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,only limb element is present,,Foster2003_Table_5
Anura_indet,Anura,,,semiaquatic,,<1,Invertivore,,,,,,,,,,,,,wastebin_catagory,,Foster2003_Table_5
Iridotriton_hechti,Caudata,150.3,148,semiaquatic,0.1,I need to calulate this,Invertivore,1,0,0,NA,1,0,0,NA,1,0,0,NA,,"Evans, Susan E., et al. ""A late Jurassic salamander (Amphibia: Caudata) from the Morrison formation of north America."" Zoological Journal of the Linnean Society 143.4 (2005): 599-616. http://onlinelibrary.wiley.com/doi/10.1111/j.1096-3642.2005.00159.x/full",I need to do this
Glyptops_plicatulus,Testudines,,,semiaquatic,,5,Omnivore,1,0,0,NA,1,0,1,NA,1,0,0,NA,Turtle_so_only_body_is_cover_however_not_sure_if_head_and_tail_can_be_retracted,,Foster2003_Table_5
Dinochelys_whitei,Testudines,,,semiaquatic,,5,Omnivore,1,0,0,NA,1,0,1,NA,1,0,0,NA,Turtle_so_only_body_is_cover_however_not_sure_if_head_and_tail_can_be_retracted,,Foster2003_Table_5
Uluops_uluops,Testudines,,,semiaquatic,,5,Omnivore,1,0,0,NA,1,0,1,NA,1,0,0,NA,Turtle_so_only_body_is_cover_however_not_sure_if_head_and_tail_can_be_retracted,,Foster2003_Table_5
Dorsetochelys_buzzops,Testudines,,,semiaquatic,,5,Omnivore,1,0,0,NA,1,0,1,NA,1,0,0,NA,Turtle_so_only_body_is_cover_however_not_sure_if_head_and_tail_can_be_retracted,,Foster2003_Table_5
Chelonia_indet,Testudines,,,semiaquatic,,5,Omnivore,,,,,,,,,,,,,,,Foster2003_Table_5
Opisthias_rarus,Rhynchocephalian,150.8,140.2,Specialized_terrestrial,,<1,Invertivore,1,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,skull is approximatly 2cm long,fossil_image available_from_https://www.nps.gov/dino/learn/nature/opisthias-rarus.htm,Foster2003_Table_5
Theretairus_antiquus,Rhynchocephalian,,,Specialized_terrestrial,,<1,Invertivore,0,NA,NA,NA,0,,NA,NA,0,NA,NA,NA,,While I cant get access to the ref http://www.ajsonline.org/content/s5-12/67/12.extract I don't see any evidance of fossils apart from jawbones etc,Foster2003_Table_5
Eilenodon,Rhynchocephalian,,,Specialized_terrestrial,,<1,herbivore,0,NA,NA,NA,0,,NA,NA,0,NA,NA,NA,,"Rasmussen, T.E. and Callison, G., 1981. A new herbivorous sphenodontid (Rhynchocephalia: Reptilia) from the Jurassic of Colorado. Journal of Paleontology, pp.1109-1116.",Foster2003_Table_5
Sphenodontia_indet,Rhynchocephalian,,,Specialized_terrestrial,,<1,Invertivore,,,,,,,,,,,,,,,Foster2003_Table_5
