Family Name,Group (Order),Age (in Mya),Youngest Age,Environment (terrestrial/aquatic),Source,Body length (m),Body mass (kg),source BM,"Diet (herbivore, omnivore,carnivore, small stuff eater)",Head presence,Head surface,Head projections,Head function,Body presence,Body projections,Body surface,Body function,Tail presence,Tail projections,Tail surface,Tail function,Notes,Habitat or water depth,Geographical Distribution
Acanthuridae,Perciformes,"Extant, earliest occurrence Eocene (wiki)",0,Marine,"fishbase, adw",0.165,NA,,herbivore and carnivore (sometimes feeds in schools),1,0,0,NA,1,1,0,NA,1,0,0,NA,"dorsal f.s., anal f.s.",coral reef,"subtropical, tropical seas (not mediterranean)"
Acestrorhynchidae,Charachiformes,Extant,0,Freshwater,fishbase,0.225,NA,,carnivore,1,0,0,NA,1,0,0,NA,1,0,0,NA,,,Orinoco and Amazon basins
Achiridae,Pleuronectiformes,Extant,0,"Freshwater, brackish, marine","fishbase (Krupp, F 1995)",0.091,NA,,carnivore,1,0,0,NA,1,1,0,NA,1,0,0,NA,,,United States to Argentina
Acropomatidae,Perciformes,"Extant, earliest occurrence Eocene (wiki)",0,Marine,fishbase (Nelson 2006); fao.org,0.072,NA,,?,1,0,1,NA,1,1,0,NA,1,0,0,NA,"dorsal f.s., anal f.s., pelvic f.s.; opercle w 2 rounded spines",,"Atlantic, Indian, Pacific"
Adrianichthyidae,Beloniformes,Extant,0,"Freshwater, brackish","fishbase (Nelson JS 1994), fao (http://www.fao.org/3/a-x2400e/x2400e09.pdf)",0.028,NA,,omnivore,1,0,0,NA,1,1,0,NA,1,0,0,NA,"dorsal f.s. (Price et al), but not mentioned in other sources",,"India to Japan, Indo-Australian archipelago"
Agonidae,Scorpaeiniformes,Extant,0,Marine,"fishbase, wiki",0.074,NA,,carnivore,1,0,0,NA,1,1,0,NA,1,0,0,NA,dorsal f.s.,,"Arctic, northern N Atlantic, NW atlantic, N Pacific, southern S. America"
Akysidae,Siluriformes,Extant,0,Freshwater,"fishbase, wiki; http://www.mapress.com/zootaxa/2004f/zt00733.pdf; 10.1111/j.1095-8649.2001.tb02260.x",0.027,NA,,carnivore,1,0,0,NA,1,1,1,NA,1,0,0,NA,"barbed dorsal f.s., unbarbed pectoral f.s. in some, unculiferous tubercles along body in some",,SE Asia
Albulidae,Albuliformes,"Extant, earliest occurrence Paleocene",0,"Freshwater, brackish, marine","fishbase (Berg LS 1958; Nelson JS 1984), wiki",0.23,NA,,carnivore,1,0,0,NA,1,0,0,NA,1,0,0,NA,,,tropical seas
Alepisauridae,Aulopiformes,Extant,0,Marine,"fishbase, wiki",0.83,NA,,carnivore,1,0,0,NA,1,0,0,NA,1,0,0,NA,can be cannibals!,,"Atlantic, Indian, Pacific"
Alepocephalidae,Osmeriformes,Extant,0,Marine,"fishbase, wiki, fao (ftp://ftp.fao.org/docrep/fao/009/ad468e/AD468eAO.pdf); https://www.cambridge.org/core/services/aop-cambridge-core/content/view/86EF2B1BF640A2C0C6DE889C0639416C/S0025315400044507a.pdf/feeding-habits-of-alepocephalus-rostratus-pisces-alepocephalidae-in-the-western-mediterranean-sea.pdf",0.36,NA,,carnivore,1,0,0,NA,1,0,0,NA,1,0,0,NA,no scales on head,,all oceans
Alestidae,Charachiformes,Extant,0,Freshwater,fishbase,0.187,NA,,carnivore,1,0,0,NA,1,0,0,NA,1,0,0,NA,,,Africa
