Group,Genus,Species,1,2,3,Superfamily,Family,System,Series,Stage,Regional Stage,Group,Formation,Member,Locality,Max Age,Min Age,citation
Conodont,"""Plectodina""",tenuis,Prioniodontida,Ozarkodinida,,,,Ordovician,,early?,Blackriverian,Galena Group,Glenwood Formation,,"Fillmore, Olmstead County, Minnesota",456,454,Rice & Hedblom 1987; Boucot & Janis 1983; Fraser 1976
Conodont,"""Plectodina""",tenuis,Prioniodontida,Ozarkodinida,,,,Ordovician,,,Blackriverian,Galena Group,Platteville Formation,,"Fillmore, Olmstead County, Minnesota",456,455,Rice & Hedblom 1987; Fraser 1976
Conodont,"""Plectodina""",tenuis,Prioniodontida,Ozarkodinida,,,,Ordovician,,,Blackriverian,Galena Group,Decorah Formation,,"Fillmore, Olmstead County, Minnesota",456,455,Rice & Hedblom 1987; Ludvigson et al 1996
Conodont,"""Plectodina""",tenuis,Prioniodontida,Ozarkodinida,,,,Ordovician,,,Blackriveran,,Platteville Formation,,"St Paul, Minnesota",456,455,Sweet 1987; Fraser 1976
Conodont,"""Plectodina""",tenuis,Prioniodontida,Ozarkodinida,,,,Ordovician,,,Blackriveran,,Decorah Formation,,"St Paul, Minnesota",456,455,Sweet 1987; Ludvigson et al 1996
Conodont,Amorphognathus,sp.,Prioniodontida,,Balognathidae,,,Ordovician,Arenig,,Dawanian,,Dawan Formation,,"Hubei Province, China",471,467,Wang et al 1987
Conodont,Amorphognathus,sp.,Prioniodontida,,Balognathidae,,,Ordovician,Ashgill,,,,White Head Formation,"""unit"" 1","Gaspe Peninsula, Quebec, Canada",478,471,Nowlan 1981
Conodont,Apatognathus,varians,Prioniodontida,Ozarkodinida,Prioniodinina,,,Devonian,Fammenian,late,,,Berchogur? Formation,,Russian Federation,365,359.8,Barskov et al 1984
Conodont,Aphelognathus,sp.,Prioniodontida,Ozarkodinida,Prioniodinina,,,Ordovician,Sandbian,Mohawkian,Soudleyan,,Taoqipo Formation,,"Shaan'Xi Province, China",458,455.8,Zhang 1983
Conodont,Aphelognathus,sp.,Prioniodontida,Ozarkodinida,Prioniodinina,,,Ordovician,Sandbian,Mohawkian,Soudleyan,,Fengfeng Formation,2 Member,"HeBei Province, China",458,455.8,North China Strat Group 1979
Conodont,Baltoniodus,triangularis,Prioniodontida,,Balognathidae,,,Ordovician,Floian,,,,Volkhov Stage Formation,Dikari Member,"Putilovo Quarry, north-western Russia",470,466,Tolmacheva et al 2003
Conodont,Baltoniodus,sp.,Prioniodontida,,Balognathidae,,,Ordovician,Arenig,,,,Dawan Formation,lower member,"Hubei Province, China",478,472,Wang et al 1987
Conodont,Baltoniodus,sp.,Prioniodontida,,Balognathidae,,,Ordovician,,,,,Dawan Formation,,"JiangSu Province, China",478,466,multi-authors 1988
