Groupe,Genus,Species,Order,Family,System,Series,Stage,Regional Stage,Formation,Member,Locality,Max Age,Min Age,citations
Galeaspids,“Latirostraspis”,caohuensis,,,Silurian,Wenlock,Sheinwoodian,,Fentou Formation,Upper,Anhui,432,430,Mu et al (1986); Boucot and Janis 1983; Wang et al. 1987
Galeaspids,"“Laxaspis""","""rostrata""",,,Devonian,Lochkovian,,,Cuifengshan,Xitun,"Qujing area, Yunnan",413,410,Dupret and Zhu 2008
Galeaspids,"“Laxaspis""",,,,Devonian,Lochkovian,Upper,,Lianhuashan Formation,Liukankou Member (Uppermost),Liujing Village,412,410,Zhang & Pojeta (1986); Pojeta USGSPP
Galeaspids,Anjiaspis,reticularis,,,Silurian,Wenlock,Homerian,,Maoshan Formation,"""lower part""","Changxing, Zhejiang",430,429,Liang et al. 1996; He 1994; Wang et al. 1987
Galeaspids,Antiquisagittaspis,cornuta,Huananapiformes,Sanchaspidae,Devonian,Pragian,,,Nakaoling Formation,,"Hengxian and Xiangzhou, Guangxi",410,407,PBDB; Shihpu 1983; Pojeta USGSPP; Wang et al. 1987
Galeaspids,Asiaspis,expansa,Huananapiformes,Huananaspidae,Devonian,Pragian,,,Nakaoling Formation,,"Hengxian and Xiangzhou, Guangxi",410,407,PBDB; Shihpu 1983; Pojeta USGSPP; Wang et al. 1987
Galeaspids,Bannhuanaspis,vukhuci,,,Devonian,Lochkovian to Pragian,,,Bac Bun Formation,,"Bac Thai Province, VIETNAM",414,410,Janvier et al. 1993; Thanh et al. 2011 
Galeaspids,Changxingaspis,gui,,,Silurian,Llandovery,Telychian,,Maoshan Formation,"""lower part""","Changxing, Zhejiang",430,429,Liang et al. 1996; He 1994; Wang et al. 1987
Galeaspids,Cyclodiscaspis,ctenus,Polybranchiaspiformes,,Devonian,Lochkovian,,,Cuifengshan,Xitun,,413,410,Zhu Min pers. Comm.
Galeaspids,Damaspis,vartus,Polybranchiaspiformes,,Devonian,Lockhovian,,,Cuifengshan,Xishancun ,"Qujing area, Yunnan",416,413,Zhao et al. 2011; Cai and Wang 1995
Galeaspids,Dayongaspis,hunanensis,Hanyangaspidida,,Silurian,Llandovery,Telychian,,Rongxi Formation,,Hunan,438,436,Mu et al (1986); Lucas 2012
Galeaspids,Diandongaspis,xishancunensis,Polybranchiaspiformes,,Devonian,Lochkovian,,,Cuifengshan,Xishancun ,"Qujing area, Yunnan",416,413,Zhao et al. 2011; Cai and Wang 1995
Galeaspids,Dongfangaspis,qujingensis,Polybranchiaspiformes,,Devonian,Lochkovian,,,Cuifengshan,Xishancun ,"Qujing area, Yunnan",416,413,Zhao et al. 2011; Cai and Wang 1995
Galeaspids,Dongfangaspis,major,Polybranchiaspiformes,,Devonian,Pragian,,,Pingyipu Formation,,Sichuan,410,407,PBDB; Hao and Gensel 2001; Lu et al. 2012
Galeaspids,Duyunolepis,paoyangensis,Polybranchiaspiformes,Duyunolepidae,Devonian,Emsian,,,Wudang Formation,,Guizhou,407,400,Lucas 2012; Zhao and Zhu 2010; Wang et al. 1987 
Galeaspids,Duyunolepis,paoyangensis,Polybranchiaspiformes,Duyunolepidae,Devonian,Emsian,,,Shujiaping Formation,,Guizhou,407,400,Zhao and Zhu 2010; Wang et al. 1987 
Galeaspids,Duyunolepis,paoyangensis,Polybranchiaspiformes,Duyunolepidae,Devonian,Emsian,,,Hexian Formation,,,407,400,Zhao and Zhu 2010; Wang et al. 1987 
Galeaspids,Eugaleaspis,changi,Galeaspiformes,,Devonian,Lochkovian,,,Cuifengshan,Xitun,"Qujing area, Yunnan",413,410,Dupret and Zhu 2008
Galeaspids,Eugaleaspis,changi,Galeaspiformes,,Devonian,Lochkovian,,,Cuifengshan,Xishancun ,"Qujing, Yunnan Province",416,413,Zhao et al. 2011; Cai and Wang 1995
Galeaspids,Eugaleaspis,lianhuashanensis,Galeaspiformes,,Devonian,Lochkovian,,,Lianhuashan Formation,,"Guixian, Guangxi Autonomous Region",413,410,Pojeta USGSPP; Wang et al. 1987
Galeaspids,Eugaleaspis,xujiachongensis,Galeaspiformes,,Devonian,Pragian,,,Cuifengshan,Xujiachong,,410,407,Wellman et al 2012; PBDB
Galeaspids,Eugaleaspis,xujiachongensis,Galeaspiformes,,Devonian,Pragian,,,Posongchong Formation,,,408,407,PBDB; Hao and Gensel 2001; Lu et al. 2012
Galeaspids,Eugaleaspis,xiushanenis,Galeaspiformes,,Silurian,Llandovery,Telychian,,Huixingshao Formation,,"Xiushan, Chongqing",437,425,Mu et al (1986); PBDB; Holland and Bassett 2002
Galeaspids,Gantarostrataspis,gengi,Huananapiformes,Gantarostrataspidae,Devonian,Pragian,,,Cuifengshan,Xujiachong,,410,407,Wellman et al 2012; PBDB
Galeaspids,Gantarostrataspis,gengi,Huananapiformes,Gantarostrataspidae,Devonian,Pragian,,,Posongchong Formation,,,408,407,PBDB; Hao and Gensel 2001; Lu et al. 2012
Galeaspids,Geraspis,rara,,,Silurian,Llandovery,Telychian,,Guodingshan Formation,,Wuhan County,438,433,Zong et al 2011; Wang et al. 1987
Galeaspids,Geraspis,rara,,,Silurian,Wenlock,Sheinwoodian,,Wuxiahe Formation (Previously Wuxiaje),,Shaanxi,433,430,Chen et al. 2002; Jiang and Dineley 1988; Tang et al. 2015
Galeaspids,Geraspis,rara,,,Silurian,Wenlock,Sheinwoodian,,Xiushan Formation,upper,"Chongqing, Hunan, Guizhou",433,430,Lucas 2012; Bassett & Xu 2002; Bassett & Rong 2002; Wang et al 1987
Galeaspids,Gumuaspis,rostrata,,,Devonian,Pragian,,,Cuifengshan,Xujiachong,,410,407,Wellman et al 2012; PBDB
Galeaspids,Gumuaspis,rostrata,,,Devonian,Pragian,,,Posongchong Formation,,,408,407,PBDB; Hao and Gensel 2001; Lu et al. 2012
Galeaspids,Hanyangaspis,guodingshanensis,Hanyangaspidida,,Silurian,Llandovery,Telychian,,Guodingshan Formation,,Wuhan County,438,433,Zong et al 2011; Wang et al. 1987
Galeaspids,Hanyangaspis,guodingshanensis,Hanyangaspidida,,Silurian,Llandovery,Telychian,,Wuxiahe Formation,,Shaanxi,433,430,Chen et al. 2002; Jiang and Dineley 1988; Tang et al. 2015
Galeaspids,Hanyangaspis,guodingshanensis,Hanyangaspidida,,Silurian,Llandovery,Telychian,,Xiushan Formation,upper,"Chongqing, Hunan, Guizhou",433,430,PBDB; Bassett and Zhu 2002; Bassett and Rong 2002; Wang et al. 1987
Galeaspids,Huananaspis,wudinensis,Huananapiformes,Huananaspidae,Devonian,Pragian,,,Cuifengshan,Xujiachong,,410,407,Wellman et al 2012; PBDB
Galeaspids,Huananaspis,wudinensis,Huananapiformes,Huananaspidae,Devonian,Pragian,,,Posongchong Formation,,,408,407,PBDB; Hao and Gensel 2001; Lu et al. 2012
Galeaspids,Kalpinolepis,tarimensis,,,Silurian,Llandovery,Telychian,early,Tataaiertage Formation,,"Kalpin-Bachu, Xinjiang",438,436,Zhao and Zhu 2009; Jiang et al. 2009
Galeaspids,Konoceraspis,grandoculus,,,Silurian,Llandovery,Telychian,,Rongxi Formation,,Hunan,438,436,Mu et al (1986); PBDB; Wang et al. 1987
Galeaspids,Kwangnanaspis,subtriangularis,,,Devonian,Pragian,,,Cuifengshan,Xujiachong,,410,407,Wellman et al 2012; PBDB
Galeaspids,Kwangnanaspis,subtriangularis,,,Devonian,Pragian,,,Posongchong Formation,,,408,407,PBDB; Hao and Gensel 2001; Lu et al. 2012
Galeaspids,Laxaspis,qujingensis,,,Devonian,Lochkovian,,,Cuifengshan,Xitun,"Qujing area, Yunnan",413,410,Dupret and Zhu 2008
Galeaspids,Laxaspis,qujingensis,,,Devonian,Lochkovian,,,Cuifengshan,Xishancun ,"Qujing, Yunnan Province",416,413,Zhao et al. 2011; Cai and Wang 1995
Galeaspids,Laxaspis,yulongssus,,,Devonian,Lochkovian,,,Cuifengshan,Xishancun ,"Qujing area, Yunnan",416,413,Zhao et al. 2011; Cai and Wang 1995
Galeaspids,Laxaspis,yulongssus,,,Devonian,Lockhovian-Pragian,,,Khao Loc Formation,,"Ha Giang, VIETNAM",416,409,Wang et al. 2010; PBDB
Galeaspids,Laxaspis,sp.,,,Devonian,Pragian,,,Lianhuashan Formation,Liukankou Member,Liujing Village,410,407,Zhang & Pojeta (1986); Pojeta USGSPP
Galeaspids,Lopadaspis,pinglensis,Polybranchiaspiformes,Duyunolepidae,Devonian,Emsian,,,Wudang Formation,,,407,400,Zhao and Zhu 2010; Wang et al. 1987 
Galeaspids,Lopadaspis,pinglensis,Polybranchiaspiformes,Duyunolepidae,Devonian,Emsian,,,Shujiaping Formation,,,407,400,Zhao and Zhu 2010; Wang et al. 1987 
Galeaspids,Lopadaspis,pinglensis,Polybranchiaspiformes,Duyunolepidae,Devonian,Emsian,,,Hexian Formation,,,407,400,Zhao and Zhu 2010; Wang et al. 1987 
Galeaspids,Lungmenshanaspis,kiangyouensis,Huananapiformes,,Devonian,Pragian,,,Pingyipu Formation,,Sichuan,410,407,PBDB; Hao and Gensel 2001; Lu et al. 2012
Galeaspids,Lungmenshanaspis,yunnanensis,Huananapiformes,,Devonian,Pragian,,,Cuifengshan,Xujiachong,,410,407,Wellman et al 2012; Lucas 2012; PBDB
Galeaspids,Lungmenshanaspis,yunnanensis,Huananapiformes,,Devonian,Pragian,,,Posongchong Formation,,,408,407,PBDB; Hao and Gensel 2001; Lu et al. 2012
Galeaspids,Macrothyraspis,longicornis,,,Devonian,Pragian,,,Cuifengshan,Xujiachong,,410,407,Wellman et al 2012; Lucas 2012; PBDB
Galeaspids,Macrothyraspis,longicornis,,,Devonian,Pragian,,,Posongchong Formation,,,408,407,PBDB; Hao and Gensel 2001; Lu et al. 2012
Galeaspids,Macrothyraspis,longilanceus,,,Devonian,Pragian,,,Posongchong Formation,,"Wenshan, Yunnan Province",408,407,PBDB; Hao and Gensel 2001; Lu et al. 2012
Galeaspids,Meishanaspis,lehmani,Galeaspiformes,,Silurian,Wenlock,Homerian,,Maoshan Formation,"""lower part""","Changxing, Zhejiang",430,429,Lucas 2012; Liang et al. 1996; He 1994; Wang et al. 1987 
