Group,Genus,species,Order,Family,System,Series,Stage,Group,Formation,Member,Locality,Max Age,Min Age,citation
Osteotracans,"""Boreaspis""",ginsburgi,Benneviaspidida,Boreaspididae,Devonian,Lower,Pragian,,Wood Bay,Sigurdfjellet ,Spitsbergen,407,403,Blomeier et al 2003; Harland 1997 chpt.16 Geology of Svalbard
Osteotracans,"""Boreaspis""",intermedia,Benneviaspidida,Boreaspididae,Devonian,Lower,Pragian,,Wood Bay,Kapp Kjeldsen Division,Spitsbergen,409,408,Blomeier et al 2003; Harland 1997 chpt.16 Geology of Svalbard
Osteotracans,"""Boreaspis""",ceratops,Benneviaspidida,Boreaspididae,Devonian,Lower,Pragian,,Wood Bay,"Sigurdfjellet, Kapp Kjeldsen",Spitsbergen,409,408,Blomeier et al 2003; Harland 1997 chpt.16 Geology of Svalbard
Osteotracans,Aceraspis,robustus,,Ateleaspididae,Silurian,Wenlock,Homerian,,Sundvollen Formation,,"Norway; Rudstangen, Oslo Region",430,427,"Davies et al 2006; Davies et al 2005, Baarli et al 2003"
Osteotracans,Acrotomaspis,instabilis,Thyestiida,Kiaeraspididae,Devonian,Lower,Pragian,,Wood Bay,Sigurdfjellet lower ,Spitsbergen,407,403,Blomeier et al 2003; Harland 1997 chpt.16 Geology of Svalbard
Osteotracans,Aestiaspis,wiitaensis,Thyestiida,Tremataspidoidea,Silurian,Wenlock,Homerian,,Rootsikula 1-3,,Baltic; Saaremaa,429,427,"Janvier, 1985a; Ma_rss and Einasto, 1978 ; Baarli et al 2004; Boucot & Janis 1983"
Osteotracans,Ateleaspis,tesselata,,Ateleaspididae,Silurian,Wenlock,Sheinwoodian,,Slot Burn,,"Scotland; Lesmahagow, South Lanarkshire",432,431,"Walton and Oliver, 1991; Wellman and Richardson, 1993"
Osteotracans,Auchenaspis,salteri,Thyestiida,,Silurian,Pridoli,Pridoli,,"Red Downton, Downton Castle",,Welshborderlands,423,419,Cocks et al 2003
Osteotracans,Axinaspis,whitei,Thyestiida,Kiaeraspididae,Devonian,Lower,Pragian,,Wood Bay,"Sigurdfjellet, Kapp Kjeldsen",Spitsbergen,409,408,Blomeier et al 2003; Harland 1997 chpt.16 Geology of Svalbard
Osteotracans,Belonaspis,minuta,Benneviaspidida,Boreaspididae,Devonian,Lower,Pragian,,Wood Bay,Sigurdfjellet upper,Spitsbergen,407,405,Blomeier et al 2003; Harland 1997 chpt.16 Geology of Svalbard
Osteotracans,Belonaspis,puella,Benneviaspidida,Boreaspididae,Devonian,Lower,Pragian,,Wood Bay,"Sigurdfjellet, Kapp Kjeldsen",Spitsbergen,409,408,Blomeier et al 2003; Harland 1997 chpt.16 Geology of Svalbard
Osteotracans,Benneviaspis,grandis,Benneviaspidida,,Devonian,Lower,Pragian,,Wood Bay,Sigurdfjellet lower ,Spitsbergen,407,403,Blomeier et al 2003; Harland 1997 chpt.16 Geology of Svalbard
Osteotracans,Benneviaspis,loevgreeni,Benneviaspidida,,Devonian,Lower,Pragian,,Wood Bay,"Sigurdfjellet, Kapp Kjeldsen",Spitsbergen,409,408,Blomeier et al 2003; Harland 1997 chpt.16 Geology of Svalbard
Osteotracans,Benneviaspis,maxima,Benneviaspidida,,Devonian,Lower,Pragian,,Wood Bay,"Sigurdfjellet, Kapp Kjeldsen",Spitsbergen,409,408,Blomeier et al 2003; Harland 1997 chpt.16 Geology of Svalbard
Osteotracans,Benneviaspis,lankesteri,Benneviaspidida,,Devonian,Lower,Lochkovian,Dittonian,(Rhinopterus crouchi zone),,Welshborderlands,411,410,"Allen and Tarlo, 1963; Schmitz et al., 2008"
Osteotracans,Benneviaspis,longicornis,Benneviaspidida,,Devonian,Lower,Pragian,,Ben Nevis,Vogti horizon,Spitsbergen,415,413,Harland 1997 chpt.16 Geology of Svalbard
Osteotracans,Benneviaspis,platessa,Benneviaspidida,,Devonian,Lower,Pragian,,Ben Nevis,Benneviaspis horizon,Spitsbergen,413,410,Harland 1997 chpt.16 Geology of Svalbard
