Groupe,Genus,species,Order,Family,System,Series,Stage,Group,Formation,Member,Locality,Max Age,Min Age,citation
Thelodonts,Apalolepis,angelica,Thelodontiformes,Apalolepididae,Devonian,Lochkovian,,Red Bay Group,Ben Nevis Formation,vogti horizon,Spitsbergen,415,413,Blom & Goujet 2002; Harland 1997 chpt.16 Geology of Svalbard
Thelodonts,Archipelepis,turbinata,Thelodontiformes,Archipelepididae,Silurian,Llandovery - Wenlock,,Delorme Group,Whittaker,,"Avalanche Lake AV1A, Northwest Territories, Canada",438,430,Soehn et al 2001; Boucot and Janis 1983 for BA
Thelodonts,Archipelepis,turbinata,Thelodontiformes,Archipelepididae,Silurian,,,,Road River,,Avalanche,435,433,Soehn et al 2001; Boucot and Janis 1983 for BA
Thelodonts,Archipelepis,turbinata,Thelodontiformes,Archipelepididae,Silurian,Wenlock,Sheinwoodian,,Cape Phillips Formation,,"Baillie Hamilton Island, Canada",433,432,Marss et al 2002; Boucot and Janis 1983 for BA; deep subtidal marine - Chen et al 2012 demonstrate the transported nature of a lot of the brachiopods from shallower water
Thelodonts,Archipelepis,bifurcata,Thelodontiformes,Archipelepididae,Silurian,Llandovery,Edgecombeaspis belli zone,Delorme Group,Avalanche Lake AV1A,,"Avalanche Lake AV1A, Northwest Territories, Canada",435,433,Soehn et al 2001: Boucot and Janis 1983 for BA
Thelodonts,Archipelepis,bifurcata,Thelodontiformes,Archipelepididae,Silurian,Wenlock,lower Sheinwoodian,,Cape Phillips Formation,,"Thorsteinsson quarry, Cape Phillips, Cornwallis Island",433,432,Marss et al 2002; Boucot and Janis 1983 for BA; deep subtidal marine - Chen et al 2012 demonstrate the transported nature of a lot of the brachiopods from shallower water
Thelodonts,Barlowodus,excelsus,Thelodontiformes,Barlowodidae,Devonian,Lochkovian,Lower Lochkovian,,Barlow Inlet Formation,,"Read Bay section, east coast of Cornwallis Island, Canada",419,414,Marss et al 2002; Adrain and Chatterton 1993 for environment
Thelodonts,Boothialepis,thorsteinssoni,Thelodontiformes,Boothialepididae,Upper Silurian/Lower Devonian,,,,Somerset Island Formation,base,"Boothia Peninsula, Canada",423,421,Marss 1999; Miall & Kerr 1977 for palaeoenvironment
Thelodonts,Boothialepis,thorsteinssoni,Thelodontiformes,Boothialepididae,Devonian,Lochkovian,Lower Lochkovian,,Barlow Inlet Formation,,"Read Bay section, east coast of Cornwallis Island, Canada",419,414,Marss et al 2002; Adrain and Chatterton 1993 for environment
Thelodonts,Canonia,grossi,Furcacaudiformes,Furcacaudidae,Silurian?,Pridoli?,,,Barlow Inlet Formation,,"Read Bay section, east coast of Cornwallis Island, Canada",419,414, Adrain and Chatterton 1993 for environment
Thelodonts,Canonia,grossi,Furcacaudiformes,Furcacaudidae,Devonian,Pragian,,,Snowblind Formation,,"Read Bay section, east coast of Cornwallis Island, Canada",411,407,Boucot and Janis 1983 for BA
Thelodonts,Canonia,grossi,Furcacaudiformes,Furcacaudidae,Devonian,Lochkovian,,Red Bay Group,Fraenkelryggen Formation,,"Fraenkelryggen, Raudfjorden, Spitsbergen",417,415,Blom & Goujet 2002; Harland 1997 chpt.16 Geology of Svalbard; Boucot and Janis 1983
Thelodonts,Canonia,grossi,Furcacaudiformes,Furcacaudidae,Devonian,Lochkovian,,,Pod'emnaya Formation,,"October Revolution Island, Russian Federation",419,414,Turner 1999 for BA
Thelodonts,Canonia,costulata,Furcacaudiformes,Furcacaudidae,Devonian,Lochkovian,,,Pod'emnaya Formation,,"October Revolution Island, Russian Federation",419,414,Blieck et al 2002; Turner 1999 for BA
Thelodonts,Canonia,costulata,Furcacaudiformes,Furcacaudidae,Devonian,Lochkovian,Lower Lochkovian,,Barlow Inlet Formation,,"Read Bay section, east coast of Cornwallis Island, Canada",419,414,Marss et al 2002; Adrain and Chatterton 1993 for environment
Thelodonts,Cometicercus,talimaae,Furcacaudiformes,Furcacaudidae,Devonian,Lochkovian,,Delorme Group,Road River - Camsell Formations,transitional beds,"MOTH, Mackenzie Mountains, Northwest Territories, northern Canada",417,410,Zorn et al 2005 for palaeoenvironment
Thelodonts,Drepanolepis,maerssae,Furcacaudiformes,Furcacaudidae,Devonian,Lochkovian,,Delorme Group,Road River - Camsell Formations,transitional beds,"MOTH, Mackenzie Mountains, Northwest Territories, northern Canada",417,410,Zorn et al 2005 for palaeoenvironment
Thelodonts,Eestilepis,prominens,Thelodontiformes,Eestilepididae,Silurian,Wenlock,lower Sheinwoodian,,Cape Phillips Formation,,"Cape Phillips, Cornwallis Island",433,432,Marss et al 2002; Boucot and Janis 1983 for BA; deep subtidal marine - Chen et al 2012 demonstrate the transported nature of a lot of the brachiopods from shallower water
Thelodonts,Erepsilepis,margaritifera,Phlebolepidiformes,Phlebolepididae,Silurian,Wenlock,lower Sheinwoodian,,Cape Phillips Formation,,"Thorsteinsson quarry, Cape Phillips, Cornwallis Island",433,432,Marss et al 2002; Boucot and Janis 1983 for BA; deep subtidal marine - Chen et al 2012 demonstrate the transported nature of a lot of the brachiopods from shallower water
Thelodonts,Furcacauda,heintzae,Furcacaudiformes,Furcacaudidae,Devonian,Lochkovian,,Delorme Group,Road River - Camsell Formations,transitional beds,"MOTH, Mackenzie Mountains, Northwest Territories, northern Canada",417,410,Zorn et al 2005 for palaeoenvironment
Thelodonts,Furcacauda,fredholmae,Furcacaudiformes,Furcacaudidae,Devonian,Lochkovian,,Delorme Group,Road River - Camsell Formations,transitional beds,"MOTH, Mackenzie Mountains, Northwest Territories, northern Canada",417,410,Zorn et al 2005 for palaeoenvironment
Thelodonts,Lanarkia,horrida,Thelodontiformes,Lanarkiidae,Silurian,Wenlock,,Glenbuck Group,Fish Bed Formation,,"Hagshaw Hills, Midland Valley, Scotland",433,432,Plotnick 1999 for environment
Thelodonts,Lanarkia,horrida,Thelodontiformes,Lanarkiidae,Silurian,Wenlock,,Waterhead Group,Slot Burn Formation,,"Lesmahagow, Midland Valley, Scotland",432,431,Plotnick 1999 for environment
Thelodonts,Lanarkia,horrida,Thelodontiformes,Lanarkiidae,Silurian,Wenlock,,Waterhead Group,Dippal Burn Formation,,"Midland Valley, Scotland",432,431,JNCC review
Thelodonts,Lanarkia,horrida,Thelodontiformes,Lanarkiidae,Silurian,Wenlock,,,Henshaw Formation,,"Midland Valley, Scotland",433,427,Molyneux et al 2001
Thelodonts,Lanarkia,lanceolata,Thelodontiformes,Lanarkiidae,Silurian,Wenlock,,Glenbuck Group,Fish Bed Formation,,"Hagshaw Hills, Midland Valley, Scotland",433,432,Marss and Ritchie 1998; Plotnick 1999 for environment
