Group,Subgroup,Genus,Species,Stage bin,Body size (cm),Citation
Actinopterygii,NA,Dialipina,markae,Lochkovian-Emsian,6.3,Basden & Young 2001
Actinopterygii,NA,Ligulalepis,toombsi,Emsian,7.3,Basden & Young 2001
Actinopterygii,NA,Dialipina,salgueroensis,Emsian,12,Basden & Young 2001
Actinopterygii,NA,Cheirolepis,tralli,Eifelian-Givetian,25,Frickhinger 1991
Actinopterygii,NA,Moythomasia,striatus,Eifelian-Frasnian,15,Gross 1953
Actinopterygii,NA,Donnrosenia,schaefferi,Givetian,21,Long et al. 2008
Actinopterygii,NA,Howqualepis,rostridens,Givetian,50,Long 1988
Actinopterygii,NA,Howqualepis,youngorum,Givetian,14,Choo 2009
Actinopterygii,NA,Stegotrachelus,finlayi,Givetian-Frasnian,14.6,Swartz 2009
Actinopterygii,NA,Cheirolepis,canadensis,Frasnian,53,Whitheaves 1887
Actinopterygii,NA,Moythomasia,durgaringa,Frasnian,10,Daeschler 2000
Actinopterygii,NA,Moythomasia,nitida,Frasnian,15,Choo 2011
Actinopterygii,NA,Moythomasia,sp.,Frasnian,20,Choo 2011
Actinopterygii,NA,Mimipsicus,toombsi,Frasnian,20,Choo 2011
Actinopterygii,NA,Osorioichthys,marginis,Famennian,30,Taverne 1997
Actinopterygii,NA,Krasnoyarichthys,jesseni,Famennian,10,Prokofiev 2002
Actinopterygii,NA,Limnomis,delaneyi,Famennian,6,Daeschler 2000
Actinopterygii,NA,Cuneognathus,gardineri,Famennian,12,Friedman & Blom 2006
Actinopterygii,NA,Tegeolepis,clarki,Famennian,100,Dunkle & Schaeffer 1973
Actinopterygii,NA,Kentuckia,hlavini,Famennian,10,Frickhinger 1991
Actinopterygii,NA,Gonatodus,brainerdi,Famennian,40,Newberry 1889
Actinopterygii,NA,Ganolepis,gracilis,Tournaisian,5,Woodward 1893
Actinopterygii,NA,Oxypteriscus,minimus,Tournaisian,5,Berg et al. 1967
Actinopterygii,NA,Senekichthys,hirundo,Tournaisian,10,Prokofiev 2004
Actinopterygii,NA,Ministrella,longicauda,Tournaisian,5,Berg et al. 1967
Actinopterygii,NA,Gyrolepitodus,sp.,Tournaisian,5,Berg et al. 1967
Actinopterygii,NA,Palaeobergia,microlepis,Tournaisian,12,Berg et al. 1967
Actinopterygii,NA,Mansfieldiscus,sweeti,Tournaisian,40,Long 1988
Actinopterygii,NA,Novogonatodus,kazantsevae,Tournaisian,20,Long 1988
Actinopterygii,NA,Aetheretmon,valentiacum,Tournaisian,12,Smithson et al. 2012
Actinopterygii,NA,Strepheoschema,fouldenensis,Tournaisian,16,"Gardiner, 1985"
Actinopterygii,NA,Fouldenia,ischyptera,Tournaisian,12,"Sallan and Coates, 2013"
Actinopterygii,NA,Phanerosteon,ovensi,Tournaisian,9,Smithson et al. 2012
Actinopterygii,NA,Cosmoptychius,striatus,Tournaisian-Visean,26,Traquair 1877
Actinopterygii,NA,Rhadinichthys,alberti,Tournaisian,9,Lambe 1910
Actinopterygii,NA,Acrolepis,hortonensis,Tournaisian,30,Lambe 1910
Actinopterygii,NA,Elonichthys,browni,Tournaisian,11,Hussakof & Bryant 1918
Actinopterygii,NA,Mansfieldiscus?,gibbus,Tournaisian,10,Long 1988
Actinopterygii,NA,Kentuckia,deani,Tournaisian,13,Berg et al. 1967
Actinopterygii,NA,Benedenius,deenensis,Visean,29,Boulenger 1899
Actinopterygii,NA,Adroichthys,tuberculatus,Visean,10,Gardiner 1969
Actinopterygii,NA,Mentzichthys,jubbi,Visean,40,Gardiner 1969
Actinopterygii,NA,Mentzichthys,maraisi,Visean,18,Gardiner 1969
Actinopterygii,NA,Mentzichthys,theroni,Visean,12,Gardiner 1969
Actinopterygii,NA,Aestaurichthys,fulcratus,Visean,10.5,Gardiner 1969
Actinopterygii,NA,Soetendalichthys,cromptoni,Visean,21,Gardiner 1969
Actinopterygii,NA,Australichthys,longidorsalis,Visean,15,Gardiner 1969
Actinopterygii,NA,Willomorichthys,striatulus,Visean,25,Gardiner 1969
Actinopterygii,NA,Sundayichthys,cromptoni,Visean,10,Gardiner 1969
Actinopterygii,NA,Dwykia,anaensis,Visean,12,Gardiner 1969
Actinopterygii,NA,Tarrasius,problematicus,Visean,9,Sallan 2012
Actinopterygii,NA,Holurus,parki,Visean,12,Berg et al. 1967
Actinopterygii,NA,Mesopoma,politum,Visean,7,Frickhinger 1991
Actinopterygii,NA,Mesopoma,pulchellum,Visean,8,Frickhinger 1991
Actinopterygii,NA,Mesopoma,crassum,Visean,15,Moy-Thomas 1934
Actinopterygii,NA,Canobius,ramseyi,Visean,12,Frickhinger 1991
Actinopterygii,NA,Styracopterus,fulcratus,Visean,16,"Sallan and Coates, 2013"
Actinopterygii,NA,Canobius,elegantulus,Visean,7,Moy-Thomas 1934
Actinopterygii,NA,Paramesolepis,rhombus,Visean,13,"Sallan and Coates, 2013"
Actinopterygii,NA,Paramesolepis,tuberculata,Visean,13,"Sallan and Coates, 2013"
Actinopterygii,NA,Rhadinichthys,canobiensis,Visean,12,Moy-Thomas 1934
Actinopterygii,NA,Proteurynotus,sp.,Visean,16,"Sallan and Coates, 2013"
Actinopterygii,NA,Rhadinichthys,carinatus,Visean,11,Traquair 1907
Actinopterygii,NA,Wardichthys,cyclosoma,Visean,11,"Sallan and Coates, 2013"
Actinopterygii,NA,Rhadinichthys,elegantulus,Visean,4.5,Berg et al. 1967
Actinopterygii,NA,Rhadinichthys,fusiformis,Visean,11,Frickhinger 1991
Actinopterygii,NA,Rhadinichthys,ornatissmus,Visean,25,Hussakof & Bryant 1918
Actinopterygii,NA,Cycloptychius,concentricus,Visean,12,Berg et al. 1967
Actinopterygii,NA,Elonichthys,serratus,Visean,12,Traquair 1881
Actinopterygii,NA,Elonichthys,striatulus,Visean,6,Traquair 1881
Actinopterygii,NA,Elonichthys,robisoni,Visean-Serpukhovian,10,Traquair 1881
Actinopterygii,NA,Acrolepis,ortholepis,Visean,30,Frickhinger 1991
Actinopterygii,NA,Cherodopsis,geikei,Visean,9,Frickhinger 1991
Actinopterygii,NA,Nematoptychius,greenocki,Visean-Serpukhovian,45,Frickhinger 1991
Actinopterygii,NA,Platysomus,superbus,Visean,18,Moy-Thomas 1934
Actinopterygii,NA,Gonatodus,punctatus,Visean,5,Traquair 1907
Actinopterygii,NA,Eurynotus,crenatus,Visean-Serpukhovian,17,Frickhinger 1991
Actinopterygii,NA,Drydenius,insignius,Visean-Serpukhovian,10,Frickhinger 1991
Actinopterygii,NA,Phanerosteon,mirabile,Visean,14,Moy-Thomas and Miles 1971
Actinopterygii,NA,Mesolepis,sp.,Visean,20,Photo
Actinopterygii,NA,Amphicentrum,crassum,Visean-Serpukhovian,30,"Sallan and Coates, 2013"
Actinopterygii,NA,Frederichthys,musadentatis,Serpukhovian,5.7,Coates 1993
Actinopterygii,NA,Mesopoma,carricki,Serpukhovian,7,Coates 1993
Actinopterygii,NA,Mesopoma,smithsoni,Serpukhovian,8,Coates 1993
Actinopterygii,NA,Mesopoma,pancheni,Serpukhovian,5.5,Coates 1993
