"","Agulhas","Amsterdam-St_Paul","Andaman","Arctic","Bay_of_Bengal","Benguela","Black_Sea","Central_Indian_Ocean_Islands","Central_Polynesia","Cold_Temperate_Northeast_Pacific","Cold_Temperate_Northwest_Atlantic","Cold_Temperate_Northwest_Pacific","Continental_High_Antarctic","East_Central_Australian_Shelf","Easter_Island","Eastern_Coral_Triangle","Galapagos","Gulf_of_Guinea","Hawaii","Java_Transitional","Juan_Fernandez_and_Desventuradas","Lord_Howe_and_Norfolk_Islands","Lusitanian","Magellanic","Marquesas","Marshall__Gilbert_and_Ellis_Islands","Mediterranean_Sea","North_Brazil_Shelf","Northeast_Australian_Shelf","Northern_European_Seas","Northern_New_Zealand","Northwest_Australian_Shelf","Red_Sea_and_Gulf_of_Aden","Sahul_Shelf","Scotia_Sea","Somali_Arabian","South_China_Sea","South_Kuroshio","Southeast_Australian_Shelf","Southeast_Polynesia","Southern_New_Zealand","Southwest_Australian_Shelf","St__Helena_and_Ascension_Islands","Subantarctic_Islands","Subantarctic_New_Zealand","Sunda_Shelf","Tristan_Gough","Tropical_East_Pacific","Tropical_Northwestern_Atlantic","Tropical_Northwestern_Pacific","Tropical_Southwestern_Atlantic","Tropical_Southwestern_Pacific","Warm_Temperate_Northeast_Pacific","Warm_Temperate_Northwest_Atlantic","Warm_Temperate_Northwest_Pacific","Warm_Temperate_Southeastern_Pacific","Warm_Temperate_Southwestern_Atlantic","West_African_Transition","West_and_South_Indian_Shelf","West_Central_Australian_Shelf","Western_Coral_Triangle","Western_Indian_Ocean"
"Abalistes_filamentosus",0,0,25,0,3,0,0,0,1,0,0,0,0,7,0,55,0,0,0,15,0,0,0,0,0,9,0,0,20,0,0,24,0,43,0,0,43,9,0,0,0,0,0,0,0,55,0,0,0,3,0,44,0,0,29,0,0,0,9,8,190,0
"Abalistes_stellaris",2,0,38,0,6,0,0,25,0,0,0,0,0,3,0,76,0,0,0,16,0,0,0,0,0,24,0,0,23,0,0,27,48,75,0,37,60,13,0,0,0,0,0,0,0,104,0,0,0,16,0,53,0,0,13,0,0,0,42,2,197,105
"Abalistes_stellatus",1,0,22,0,3,0,0,27,0,0,0,0,0,4,0,62,0,0,0,16,0,0,0,0,0,16,0,0,24,0,0,28,49,76,0,28,54,11,0,0,0,0,0,0,0,75,0,0,0,11,0,46,0,0,12,0,0,0,33,4,195,95
"Ablabys_macracanthus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,0
"Ablabys_taenianotus",0,0,35,0,0,0,0,0,0,0,0,1,0,6,0,77,0,0,0,16,0,2,0,0,0,34,0,0,26,0,0,27,0,73,0,0,60,13,0,0,0,0,0,0,0,95,0,0,0,29,0,64,0,0,31,0,0,0,0,9,197,0
"Ablennes_hians",9,0,30,0,6,1,0,23,6,0,1,1,0,11,0,65,9,38,6,15,0,3,5,0,5,25,0,17,24,0,1,19,17,56,0,25,41,13,0,13,0,2,2,0,0,77,0,38,137,14,25,44,26,25,27,3,12,8,31,10,187,87
"Abudefduf_abdominalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Abudefduf_bengalensis",0,0,15,0,43,0,0,1,0,0,0,2,0,14,0,6,0,0,0,4,0,0,0,0,0,0,0,0,25,0,0,28,0,83,0,2,97,21,0,0,0,0,0,0,0,120,0,0,0,9,0,7,0,0,48,0,0,0,50,14,206,0
"Abudefduf_concolor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Abudefduf_conformis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Abudefduf_declivifrons",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,20,0,0,0,0,0,0,0,0,0
"Abudefduf_lorenzi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,1,0,0,0,0,0,165,0
"Abudefduf_luridus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0
"Abudefduf_natalensis",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
"Abudefduf_notatus",0,0,62,0,6,0,0,24,25,0,0,4,0,0,0,42,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,1,12,6,0,33,10,26,0,0,0,0,0,0,0,76,0,0,0,26,0,0,0,0,52,0,0,0,15,0,231,148
"Abudefduf_saxatilis",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,2,233,0,54,0,0,50,0,0,17,17,0,0,0,0
"Abudefduf_septemfasciatus",5,0,61,0,43,0,0,30,106,0,0,2,0,0,0,106,0,0,0,26,0,0,0,0,13,96,0,0,12,0,0,1,0,7,0,7,28,28,0,92,0,0,0,0,0,28,0,0,0,103,0,124,0,0,36,0,0,0,23,0,229,166
"Abudefduf_sexfasciatus",0,0,15,0,4,0,0,38,70,0,0,4,0,10,0,109,0,0,0,30,0,12,0,0,0,79,0,0,25,0,0,28,68,87,0,34,92,21,0,124,0,2,0,0,0,114,0,0,0,94,0,129,0,0,56,0,0,0,26,14,239,161
"Abudefduf_sordidus",0,0,66,0,43,0,0,38,106,0,0,4,0,15,0,104,0,0,32,26,0,12,0,0,13,79,0,0,23,0,0,28,68,25,0,34,97,21,2,125,0,2,0,0,0,120,0,0,0,94,0,129,0,0,56,0,0,0,43,14,235,163
"Abudefduf_sparoides",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134
"Abudefduf_taurus",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,192,0,0,0,0,2,0,0,0,20,0,0,0,0
"Abudefduf_troschelii",0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,1,0,0,0,41,0,0,13,0,0,0,0,0,0
"Abudefduf_vaigiensis",0,0,66,0,43,0,0,38,106,0,0,4,0,15,0,104,0,0,44,30,0,12,0,0,13,79,6,0,23,0,0,28,68,25,0,34,97,21,2,119,0,2,0,0,0,120,0,0,0,94,0,129,0,0,56,0,0,0,43,14,235,161
"Abudefduf_whitleyi",0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0
"Abyssobrotula_galatheae",23,12,38,0,6,19,0,62,200,27,15,13,0,23,20,104,16,78,118,58,39,24,87,30,34,193,0,17,1,3,36,10,12,0,0,35,34,38,38,250,25,32,36,22,21,0,45,135,151,235,96,134,26,6,19,66,5,41,25,12,133,204
"Acanthaluteres_brownii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acanthaluteres_spilomelanurus",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"Acanthaluteres_vittiger",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"Acanthanectes_hystrix",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acanthanectes_rufus",12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
