Species name,Group,Source,Age (in Mya),Envronement (terrestrial/aquatic),Body length (m),Body mass (kg),"Diet (herbivore, omnivore,carnivore, small stuff eater)",Head presence,Head projections,Head surface,Head function,Body presence,Body projections,Body surface,Body function,Tail presence,Tail projections,Tail surface,Tail function,notes
,CHONDRICTHYES,,,,,,,,,,,,,,,,,,,
,CHONDRICTHYES,,,,,,,,,,,,,,,,,,,
,CHONDRICTHYES,,,,,,,,,,,,,,,,,,,
,CHONDRICTHYES,,,,,,,,,,,,,,,,,,,
,OSTEICHTHYES,,,,,,,,,,,,,,,,,,,
,OSTEICHTHYES,,,,,,,,,,,,,,,,,,,
,OSTEICHTHYES,,,,,,,,,,,,,,,,,,,
,OSTEICHTHYES,,,,,,,,,,,,,,,,,,,
,OSTEICHTHYES,,,,,,,,,,,,,,,,,,,
,ANURA,,,,,,,,,,,,,,,,,,,
,CAUDATA,,,,,,,,,,,,,,,,,,,
,CAUDATA,,,,,,,,,,,,,,,,,,,
,CAUDATA,,,,,,,,,,,,,,,,,,,
Plesiobaena_antiqua,TESTUDINES,body size from Brinkman 2003,70.6 - 63.3 ,aquatic,0.41,,small stuff eater (inverts),1,0,0,nothing,1,0,1,protection,1,0,0,nothing,
Baenidae_indeterminate,TESTUDINES,ecology from Hartman,66.04,aquatic,,,carnivore,,,,,1,0,1,protection,,,,,armour inferred because it's a turtle
Chelydridae_indeterminate,TESTUDINES,body size and ecology from Hartman,66.04,aquatic,0.21,,carnivore,,,,,1,0,1,protection,,,,,Protochelydra
Adocus,TESTUDINES,body size and ecology from fossilworks ,70.6 - 66.043,aquatic,0.59,23.6,omnivore,0,NA,NA,NA,1,0,1,protection,0,NA,NA,NA,Adocus beautus?
Basilemys_sinuosa,TESTUDINES,body size and ecology from Hartman,70.6 to 66.043,terrestrial,0.92,38.5,herbivore,1,0,0,nothing,1,0,1,protection,0,NA,NA,NA,armoured limbs
Kinosternidae_indeterminate,TESTUDINES,ecology from fossil works body size from Hartman,70.6-present,aquatic,0.15,,carnivore,,,,,1,0,1,protection,,,,,Kinosternid morph
Macrobaenidae_indeterminate,TESTUDINES,ecology from Hartman,66.04,aquatic,,,herbivore,,,,,1,0,1,protection,,,,,armour inferred because it's a turtle
Helopanoplia_distincta,TESTUDINES,ecology from fossil works,70.6 - 66.043,aquatic,0.48,,carnivore,,,,,1,0,1,protection,,,,,armour inferred because it's a turtle
Trionychidae_indeterminate,TESTUDINES,ecology from Hartman,66.04,aquatic,,,carnivore,,,,,1,0,1,protection,,,,,armour inferred because it's a turtle
Compsemys_victa,TESTUDINES,Ecology from Lyson et al 2011 body size from Hartman,70.6 - 56.8,aquatic,0.23,,canivore,1,0,0,nothing,1,0,1,protection,,,,,multiple references to 30 cm but from dubious sources
Lepidosauria_indeterminate,LEPIDOSAURIA,,,,,,,,,,,,,,,,,,,
Champsosaurus_sp.,CHORISTODERA,Ecology from fossilworks, 70.6 - 66.043,aquatic,,,carnivore,0,NA,NA,NA,1,0,0,nothing,0,NA,NA,NA,"piscivore,Champsosaurus laramiensis?"
Brachychampsa_montana,CROCODILIA,ecology from fossilworks body size from NatGeo, 70.6 - 66.043,aquatic,3,,carnivore,1,0,0,nothing,0,NA,NA,NA,0,NA,NA,NA,ate turtles?
Leidyosuchus_sternbergi,CROCODILIA,body size and ecology from fossil works,66.043 - 63.3,aquatic,2.8,40,carnivore,1,0,0,nothing,1,0,0,nothing,0,NA,NA,NA,aka Borealosuchus sternbergii
Thoracosaurus_neocesariensis,CROCODILIA,ecology from fossilworks,70.6 - 50.3,aquatic,,,carnivore,1,0,0,nothing,1,0,0,nothing,0,NA,NA,NA,
,PTEROSAURIA,,,,,,,,,,,,,,,,,,,
,ORNITHISCHIA,,,,,,,,,,,,,,,,,,,
,ORNITHISCHIA,,,,,,,,,,,,,,,,,,,
,ORNITHISCHIA,,,,,,,,,,,,,,,,,,,
,ORNITHISCHIA,,,,,,,,,,,,,,,,,,,
,ORNITHISCHIA,,,,,,,,,,,,,,,,,,,
,SAURISCHIA,,,,,,,,,,,,,,,,,,,
,SAURISCHIA,,,,,,,,,,,,,,,,,,,
,SAURISCHIA,,,,,,,,,,,,,,,,,,,
,SAURISCHIA,,,,,,,,,,,,,,,,,,,
,SAURISCHIA,,,,,,,,,,,,,,,,,,,
,SAURISCHIA,,,,,,,,,,,,,,,,,,,
,SAURISCHIA,,,,,,,,,,,,,,,,,,,
,SAURISCHIA,,,,,,,,,,,,,,,,,,,
,SAURISCHIA,,,,,,,,,,,,,,,,,,,
,AVES,,,,,,,,,,,,,,,,,,,
Cimolodon_nitidus,Mammalia,body size from Wilson et al 2013,70.6-66.043,terrestrial,,0.18,omnivore,0,0,0,NA,0,0,0,NA,0,0,0,NA,only from teeth and skull fragments
Cimolodon_sp,Mammalia,,,terrestrial,,,omnivore,0,0,0,NA,0,0,0,NA,0,0,0,NA,only from teeth and skull fragments
Meniscoessus_robustus,Mammalia,body size from Wilson et al 2013 ecology from fossilworks,70.6-66.043,terrestrial,,1.2,herbivore,1,0,0,NA,0,0,0,NA,0,0,0,NA,
Meniscoessus_sp.,Mammalia,,,,,,,,,,,,,,,,,,,
Mesodma_thompsoni,Mammalia,body size from Wilson et al 2013,70.6-66.043,terrestrial,,0.05,omnivore,0,0,0,NA,0,0,0,NA,0,0,0,NA,only from teeth and skull fragments
Mesodma_hensleighi,Mammalia,body size from Wilson et al 2013,70.6-66.043,terrestrial,,0.02,omnivore,0,0,0,NA,0,0,0,NA,0,0,0,NA,species added to list from Wilson et al 2013 only from teeth and skull fragments
Cimolomys_gracilis,Mammalia,body size from Wilson et al 2013,70-66,terrestrial,,0.29,herbivore,0,0,0,NA,0,0,0,NA,0,0,0,NA,species added to list from Wilson et al 2013 only from teeth and skull fragments
Cimexomys_minor,Mammalia,body size from Wilson et al 2013,66.043-63.3,terrestrial,,0.05,herbivore,0,0,0,NA,0,0,0,NA,0,0,0,NA,species added to list from Wilson et al 2013 only from teeth and skull fragments
Paracimexomys_priscus,Mammalia,body size from Wilson et al 2013,70.6-66.043,terrestrial,,0.07,herbivore,0,0,0,NA,0,0,0,NA,0,0,0,NA,species added to list from Wilson et al 2013 only from teeth and skull fragments
Nanocuris_improvida,Mammalia,body size from Wilson et al 2013,70.6-66.043,terrestrial,,0.52,carnivore,0,0,0,NA,0,0,0,NA,0,0,0,NA,species added to list from Wilson et al 2013 only from teeth and skull fragments
Essonodon browni,Mammalia,body size from Wilson et al 2013,70.6-66.043,terrestrial,,1.35,herbivore,0,0,0,NA,0,0,0,NA,0,0,0,NA,"species added to list from Wilson et al 2013 only from teeth and skull fragments, may be a synonom of Cimolodon nitidus"
Paressonodon_nelsoni,Mammalia,,70.6-66.043,terrestrial,,,herbivore,0,0,0,NA,0,0,0,NA,0,0,0,NA,species added to list from Wilson et al 2013 only from teeth and skull fragments
Mesodma_formosa,Mammalia,body size from Wilson et al 2013,70.6-66.043,terrestrial,,0.04,omnivore,0,0,0,NA,0,0,0,NA,0,0,0,NA,species added to list from Wilson et al 2013 only from teeth and skull fragments
Gypsonictops_hypoconus,Mammalia,body size from Wilson et al 2013,70.6-66.043,terrestrial,,0.03,omnivore,0,0,0,NA,0,0,0,NA,0,0,0,NA,species added to list from Wilson et al 2013 only from teeth and skull fragments
Gypsonictops_illuminatus,Mammalia,body size from Wilson et al 2013,70.6-66.043,terrestrial,,0.06,omnivore,0,0,0,NA,0,0,0,NA,0,0,0,NA,only from teeth and skull fragments
Cimolestes_magnus,Mammalia,body size from Wilson et al 2013,,terrestrial,,0.57,carnivore,0,0,0,NA,0,0,0,NA,0,0,0,NA,maybe a synonom with Altacreodus magnus
Didelphodon_vorax,Mammalia,body size from Wilson et al 2016. A large carnivorous mammal from the Late Cretaceous and the North American origin of marsupials,70.6-66.043,terrestrial,,1.72,carnivore,1,0,0,NA,0,0,0,NA,0,0,0,NA,Some speculation that it may have been semi-aquatic but only speculation. see Wilson et al 2016. A large carnivorous mammal from the Late Cretaceous and the North American origin of marsupials
Didelphodon_sp.,Mammalia,,,,,,,,,,,,,,,,,,,
