Genus name,Species name,Group,Age (in Mya),Envronement (terrestrial/aquatic),Site,Source (theirs),Source (mine if additional,Body length (m),Body mass (kg),"Diet (herbivore, omnivore,carnivore, small stuff eater)",Head presence,Head projections,Head surface,Head function,Body presence,Body projections,Body surface,Body function,Tail presence,Tail projections,Tail surface,Tail function,Notes
Melanocanthus,minutus,Acanthodii,Emsian,,Bear Rock Formation,Cumbaa & Schultze 2002,,2,,,No,NA,NA,"Head has slightly larger scales than body, but still small",Yes,Yes,No,Fin spines,No,NA,NA,NA,
Promesacanthus,eppleri,Acanthodii,Lochkovian,,MOTH,Hanke 2008a,,3,,,No,NA,NA,NA,Yes,Yes,No,Fin spines,No,NA,NA,NA,
Triazeugacanthus,affinus,Acanthodii,Frasnian,,,Frickhinger 1991,,3,,,No,NA,NA,NA,Yes,Yes,No,Fin spines,No,NA,NA,NA,
Lodeacanthus,guajicas,Acanthodii,Givetian,,,Upniece 2001,,3.12,,,No,NA,NA,NA,Yes,Yes,No,Fin spines,No,NA,NA,NA,
Tetanopsyrus,lindoei,Acanthodii,Lochkovian,,MOTH,Hanke et al. 2001,,3.7,,,No,NA,NA,NA,Yes,Yes,No,Fin spines,No,NA,NA,NA,
Paucicanthus,vanelsti,Acanthodii,Lochkovian,,MOTH,Hanke 2002,,3.8,,,No,NA,NA,NA,Yes,Yes,No,Fin spines - no paired ones,No,NA,NA,NA,
Tetanopsyrus,breviacanthus,Acanthodii,Lochkovian,,MOTH,Hanke et al. 2001,,4,,,No,NA,NA,NA,Yes,Yes,No,Fin spines,No,NA,NA,NA,
Onchus,latus,Acanthodii,Famennian,,,Derycke & Clement 2002,*Derycke & Clement 2013 is actually correct I think,4,,,?,?,?,?,?,?,?,?,?,?,?,?,This is just isolated spines and scales - RPD
Devononchus,tenusipinus,Acanthodii,Famennian,,,Derycke & Clement 2002,*Derycke & Clement 2013 is actually correct I think,4,,,?,?,?,?,?,?,?,?,?,?,?,?,This is just isolated spines and scales - RPD
Lupopsyrus,pygmaeus,Acanthodii,Lochkovian,,MOTH,Denison 1979,,5.5,,,No,NA,NA,NA,Yes,Yes,Yes,Fin spines and armoured shoulder girdle,No,NA,NA,NA,
