	"Standard 
length (mm)"	"Body 
depth 
(mm)"	"Body 
width
 (mm)"	"Dorsal fin 
spine
 length (mm)"	"Anal fin 
spine 
length 
(mm)"	"Right pectoral
 fin spine length (mm)"	"Left pectoral 
fin spine length (mm)"
Acanthuridae	165.200	91.700	25.100	25.800	22.750	0.000	0.000
Acestrorhynchidae	225.333	37.533	21.533	0.000	0.000	0.000	0.000
Achiridae	91.470	50.370	10.720	14.200	14.200	0.000	0.000
Acropomatidae	71.900	23.100	11.650	11.100	10.250	0.000	0.000
Adrianichthyidae	27.870	7.330	3.930	7.830	6.370	0.000	0.000
Agonidae	74.170	7.330	8.950	6.270	6.300	0.000	0.000
Akysidae	27.267	4.133	7.033	4.233	0.000	5.067	5.200
Albulidae	230.000	51.100	30.600	0.000	0.000	0.000	0.000
Alepisauridae	830.000	71.700	34.100	0.000	0.000	0.000	0.000
Alepocephalidae	360.000	65.900	43.733	0.000	0.000	0.000	0.000
Alestidae	186.667	50.400	25.467	0.000	0.000	0.000	0.000
Ambassidae	43.370	13.070	5.080	8.770	6.330	0.000	0.000
Amblycipitidae	96.333	17.933	19.733	9.900	0.000	10.967	10.433
Amblyopsidae	66.100	12.800	10.400	6.500	7.700	0.000	0.000
Ammodytidae	75.880	6.320	4.500	0.480	0.180	0.000	0.000
Amphiliidae	72.767	8.333	14.500	0.000	0.000	13.300	13.233
Anabantidae	66.100	28.600	15.750	9.650	7.150	0.000	0.000
Anablepidae	130.070	18.450	19.970	10.730	12.620	0.000	0.000
Anarhichadidae	488.000	22.400	14.000	14.000	14.600	0.000	0.000
Anguillidae	398.000	23.533	20.000	0.000	0.000	0.000	0.000
Anomalopidae	151.200	55.350	31.550	13.850	15.400	0.000	0.000
Anoplogastridae	102.120	49.900	15.600	13.870	11.400	0.000	0.000
Anoplopomatidae	209.670	36.200	27.200	20.630	14.100	0.000	0.000
Anostomidae	183.667	48.533	22.567	0.000	0.000	0.000	0.000
Anotopteridae	666.000	38.500	15.200	0.000	0.000	0.000	0.000
Antennariidae	70.900	40.450	20.650	13.500	12.850	0.000	0.000
Aphredoderidae	71.900	21.170	10.330	8.870	9.470	0.000	0.000
Aploactinidae	68.600	21.930	9.200	8.530	6.700	0.000	0.000
Aplocheilidae	51.650	8.550	8.300	4.300	7.000	0.000	0.000
Apogonidae	65.780	21.830	11.220	9.620	7.120	0.000	0.000
Apteronotidae	310.667	38.533	13.833	0.000	0.000	0.000	0.000
Arapaimidae	279.667	43.900	37.467	0.000	0.000	0.000	0.000
Argentinidae	213.333	25.033	20.567	0.000	0.000	0.000	0.000
Ariidae	226.667	46.633	51.067	42.567	0.000	39.700	39.233
Ariommatidae	137.900	30.300	17.680	22.500	6.330	0.000	0.000
Arripidae	121.870	35.870	19.070	19.030	9.450	0.000	0.000
Artedidraconidae	70.480	12.650	8.500	12.100	8.900	0.000	0.000
