Species,Family
Paracanthurus_hepatus,Acanthuridae
Acestrorhynchus_minimus,Acestrorhynchidae
Achirus_lineatus,Achiridae
Acropoma_japonicum,Acropomatidae
Oryzias_latipes,Adrianichthyidae
Agonopsis_vulsa,Agonidae
Acrochordonichthys_rugosus,Akysidae
Albula_vulpes,Albulidae
Alepisaurus_ferox,Alepisauridae
Alepocephalus_tenebrosus,Alepocephalidae
Brycinus_macrolepidotus,Alestidae
Parambassis_ranga,Ambassidae
Amblyceps_mangois,Amblycipitidae
Chologaster_cornuta,Amblyopsidae
Ammodytes_tobianus,Ammodytidae
Amphilius_rheophilus,Amphiliidae
Anabas_testudineus,Anabantidae
Anableps_anableps,Anablepidae
Anarhichas_minor,Anarhichadidae
Anguilla_mossambica,Anguillidae
Photoblepharon_palpebratum,Anomalopidae
Anoplogaster_cornuta,Anoplogastridae
Anoplopoma_fimbria,Anoplopomatidae
Leporinus_striatus,Anostomidae
Anotopterus_pharao,Anotopteridae
Antennarius_maculatus,Antennariidae
Aphredoderus_sayanus,Aphredoderidae
Aploactisoma_milesii,Aploactinidae
Aphyosemion_guineense,Aplocheilidae
Archamia_biguttata,Apogonidae
Apteronotus_leptorhynchus,Apteronotidae
Arapaima_gigas,Arapaimidae
Argentina_sialis,Argentinidae
Bagre_marinus,Ariidae
Ariomma_bondi,Ariommatidae
Arripis_trutta,Arripidae
Dolloidraco_longedorsalis,Artedidraconidae
Bunocephalus_verrucosus,Aspredinidae
Ijimaia_antillarum,Ateleopodidae
Labidesthes_sicculus,Atherinidae
Menidia_menidia,Atherinopsidae
Trachelyopterus_galeatus,Auchenipteridae
Aulorhynchus_flavidus,Aulorhynchidae
Aulostomus_chinensis,Aulostomidae
Hemibagrus_guttatus,Bagridae
Balitora_elongata,Balitoridae
Bathydraco_macrolepis,Bathydraconidae
Bathylagus_euryops,Bathylagidae
Bathymaster_derjugini,Bathymasteridae
Bathysaurus_ferox,Bathysauridae
Porichthys_plectrodon,Batrachoididae
Tylosurus_acus_melanotus,Belonidae
Bembras_japonica,Bembridae
Beryx_decadactylus,Berycidae
Scartella_caboverdiana,Blenniidae
Arnoglossus_laterna,Bothidae
Cottoperca_gobio,Bovichtidae
Brama_orcini,Bramidae
Bregmaceros_cantori,Bregmacerotidae
Brosmophycis_marginata,Bythitidae
Caesio_lunaris,Caesionidae
Callanthias_ruber,Callanthiidae
Corydoras_polystictus,Callichthyidae
Synchiropus_ocellatus,Callionymidae
Antigonia_capros,Caproidae
Caranx_hippos,Carangidae
Echiodon_cryomargarites,Carapidae
Catostomus_bernardini,Catostomidae
Centrarchus_macropterus,Centrarchidae
Aeoliscus_strigatus,Centriscidae
Centrogenys_vaigiensis,Centrogenyidae
Centrolophus_niger,Centrolophidae
Centropomus_viridis,Centropomidae
Cepola_pauciradiata,Cepolidae
Ataxolepis_apus,Cetomimidae
Cetopsis_coecutiens,Cetopsidae
Acanthemblemaria_betinensis,Chaenopsidae
Coradion_chrysozonus,Chaetodontidae
Champsodon_atridorsalis,Champsodontidae
Chanos_chanos,Chanidae
Chaenocephalus_aceratus,Channichthyidae
Channa_lucius,Channidae
Aphyocharax_anisitsi,Characidae
Chaunax_pictus,Chaunacidae
Cheilodactylus_rubrolabiatus,Cheilodactylidae
Kali_macrura,Chiasmodontidae
Chilodus_punctatus,Chilodontidae
Chironemus_delfini,Chironemidae
Chilorhinus_platyrhynchus,Chlopsidae
Chlorophthalmus_agassizi,Chlorophthalmidae
Cichlasoma_amazonarum,Cichlidae
Cirrhitus_rivulatus,Cirrhitidae
Clarias_meladerma,Clariidae
Parauchenoglanis_balayi,Claroteidae
Heterostichus_rostratus,Clinidae
Clupea_harengus,Clupeidae
Cobitis_biwae,Cobitidae
Coloconger_cadenati,Colocongridae
Congiopodus_peruvianus,Congiopodidae
Conger_oceanicus,Congridae
Coryphaena_equiselis,Coryphaenidae
Cottus_princeps,Cottidae
Cranoglanis_bouderius,Cranoglanididae
Characidium_fasciatum,Crenuchidae
Cryptacanthodes_giganteus,Cryptacanthodidae
Ctenolucius_hujeta,Ctenoluciidae
Hydrolycus_scomberoides,Cynodontidae
Symphurus_tessellatus,Cynoglossidae
Cyprinus_multitaeniata,Cyprinidae
Cyprinodon_maya,Cyprinodontidae
Dactylopterus_volitans,Dactylopteridae
Gillellus_semicinctus,Dactyloscopidae
Denticeps_clupeoides,Denticipitidae
Derichthys_serpentinus,Derichthyidae
Diodon_holocanthus,Diodontidae
Diplomystes_nahuelbutaensis,Diplomystidae
Platydoras_costatus,Doradidae
Draconetta_xenica,Draconettidae
Remora_brachyptera,Echeneidae
Elassoma_evergladei,Elassomatidae
Mogurnda_adspersa,Eleotridae
Elops_affinis,Elopidae
Embiotoca_jacksoni,Embiotocidae
Emmelichthys_nitidus_nitidus,Emmelichthyidae
Engraulis_anchoita,Engraulidae
Enoplosus_armatus,Enoplosidae
Platax_orbicularis,Ephippidae
Epigonus_constanciae,Epigonidae
Esox_lucius,Esocidae
Euclichthys_polynemus,Euclichthyidae
Eurypharynx_pelecanoides,Eurypharyngidae
Evermannella_indica,Evermannellidae
Parexocoetus_hillianus,Exocoetidae
Fistularia_commersonii,Fistulariidae
Fundulus_majalis,Fundulidae
Gadus_ogac,Gadidae
Galaxias_argenteus,Galaxiidae
Carnegiella_marthae,Gasteropelecidae
Apeltes_quadracus,Gasterosteidae
Ruvettus_pretiosus,Gempylidae
Gerres_macracanthus,Gerreidae
Gigantura_chuni,Giganturidae
Gnathanacanthus_goetzeei,Gnathanacanthidae
Apletodon_incognitus,Gobiesocidae
Odontamblyopus_rubicundus,Gobiidae
Gonorynchus_abbreviatus,Gonorynchidae
Gonostoma_elongatum,Gonostomatidae
Xenotoca_eiseni,Goodeidae
Grammicolepis_brachiusculus,Grammicolepididae
Gymnarchus_niloticus,Gymnarchidae
Electrophorus_electricus,Gymnotidae
Gyrinocheilus_pustulosus,Gyrinocheilidae
Haemulon_squamipinna,Haemulidae
Halosauropsis_macrochir,Halosauridae
Harpagifer_antarcticus,Harpagiferidae
Helostoma_temminkii,Helostomatidae
Hemiodus_gracilis,Hemiodontidae
Hemiramphus_far,Hemiramphidae
Blepsias_cirrhosus,Hemitripteridae
Hepsetus_odoe,Hepsetidae
Goeldiella_eques,Heptapteridae
Heteropneustes_fossilis,Heteropneustidae
Ophiodon_elongatus,Hexagrammidae
Hiodon_alosoides,Hiodontidae
Holocentrus_adscensionis,Holocentridae
Hoplichthys_citrinus,Hoplichthyidae
Brachyhypopomus_brevirostris,Hypopomidae
Aulichthys_japonicus,Hypoptychidae
Icosteus_aenigmaticus,Icosteidae
Ictalurus_balsanus,Ictaluridae
Bathypterois_phenax,Ipnopidae
Makaira_indica,Istiophoridae
Kuhlia_mugil,Kuhliidae
Girella_punctata,Kyphosidae
Thalassoma_amblycephalum,Labridae
Auchenionchus_microcirrhis,Labrisomidae
Lacantunia_enigmatica,Lacantuniidae
Lates_calcarifer,Latidae
Mendosoma_lineatum,Latridae
Nannostomus_beckfordi,Lebiasinidae
Eubleekeria_splendens,Leiognathidae
Lepidogalaxias_salamandroides,Lepidogalaxiidae
Leptobrama_muelleri,Leptobramidae
Lethrinus_genivittatus,Lethrinidae
Liparis_rutteri,Liparidae
Lobotes_pacificus,Lobotidae
Lophius_gastrophysus,Lophiidae
Pterygoplichthys_joselimaianus,Loricariidae
Molva_macrophthalma,Lotidae
Lutjanus_colorado,Lutjanidae
Coryphaenoides_subserrulatus,Macrouridae
Lopholatilus_chamaeleonticeps,Malacanthidae
Malapterurus_beninensis,Malapteruridae
Macrognathus_zebrinus,Mastacembelidae
Megalops_atlanticus,Megalopidae
Melamphaes_suborbitalis,Melamphaidae
Melanocetus_johnsonii,Melanocetidae
Melanonus_gracilis,Melanonidae
Melanotaenia_affinis,Melanotaeniidae
Mene_maculata,Menidae
Merluccius_senegalensis,Merlucciidae
Microstoma_microstoma,Microstomatidae
Synodontis_sorex,Mochokidae
Stephanolepis_hispidus,Monacanthidae
Monocentris_japonica,Monocentridae
Schuettea_scalaripinnis,Monodactylidae
Laemonema_barbatulum,Moridae
Moringua_edwardsi,Moringuidae
Boulengeromyrus_knoepffleri,Mormyridae
Dicentrarchus_punctatus,Moronidae
Mugil_soiuy,Mugilidae
Mullus_barbatus_ponticus,Mullidae
Congresox_talabonoides,Muraenesocidae
Echidna_xanthospilos,Muraenidae
Muraenolepis_marmorata,Muraenolepididae
Benthosema_glaciale,Myctophidae
Nandus_oxyrhynchus,Nandidae
Nematistius_pectoralis,Nematistiidae
Nematogenys_inermis,Nematogenyidae
Avocettina_infans,Nemichthyidae
Nemipterus_virgatus,Nemipteridae
Neoscopelus_macrolepidotus,Neoscopelidae
Facciolella_gilbertii,Nettastomatidae
Psenes_arafurensis,Nomeidae
Normanichthys_crockeri,Normanichthyidae
Notacanthus_abbotti,Notacanthidae
Chitala_chitala,Notopteridae
Ahliesaurus_berryi,Notosudidae
Dissostichus_eleginoides,Nototheniidae
Odax_acroptilus,Odacidae
Micropercops_swinhonis,Odontobutidae
Dibranchus_atlanticus,Ogcocephalidae
Olyra_longicaudata,Olyridae
Omosudis_lowii,Omosudidae
Oneirodes_acanthias,Oneirodidae
Myrichthys_breviceps,Ophichthidae
Brotula_barbata,Ophidiidae
Opistognathus_aurifrons,Opistognathidae
Oplegnathus_fasciatus,Oplegnathidae
Neocyttus_helgae,Oreosomatidae
Hypomesus_olidus,Osmeridae
Trichogaster_leerii,Osphronemidae
Osteoglossum_bicirrhosum,Osteoglossidae
Lactophrys_bicaudalis,Ostraciidae
Ostracoberyx_dorygenys,Ostracoberycidae
Pangasianodon_hypophthalmus,Pangasiidae
Pantodon_buchholzi,Pantodontidae
Lestidium_atlanticum,Paralepididae
Citharichthys_sordidus,Paralichthyidae
Paraulopus_oblongus,Paraulopidae
Aetapcus_maculatus,Pataecidae
Pegasus_volitans,Pegasidae
Pempheris_oualensis,Pempheridae
Pentaceros_japonicus,Pentacerotidae
Siniperca_roulei,Percichthyidae
Perca_flavescens,Percidae
Bembrops_heterurus,Percophidae
Percopsis_omiscomaycus,Percopsidae
Peristedion_gracile,Peristediidae
Pholis_nebulosa,Pholidae
Pholidichthys_leucotaenia,Pholidichthyidae
Ichthyococcus_ovatus,Phosichthyidae
Phycis_blennoides,Phycidae
Brachyplatystoma_juruense,Pimelodidae
Parapercis_clathrata,Pinguipedidae
Elates_ransonnettii,Platycephalidae
Normichthys_operosus,Platytroctidae
Plecoglossus_altivelis_altivelis,Plecoglossidae
Assessor_flavissimus,Plesiopidae
Pleuronectes_platessa,Pleuronectidae
Neosilurus_hyrtlii,Plotosidae
Xiphophorus_birchmanni,Poeciliidae
Polymixia_nobilis,Polymixiidae
Polydactylus_plebeius,Polynemidae
Polyprion_oxygeneios,Polyprionidae
Pomacanthus_annularis,Pomacanthidae
Amphiprion_ocellaris,Pomacentridae
Pomatomus_saltatrix,Pomatomidae
Heteropriacanthus_cruentatus,Priacanthidae
Ilisha_elongata,Pristigasteridae
Prochilodus_nigricans,Prochilodontidae
Profundulus_guatemalensis,Profundulidae
Psettodes_belcheri,Psettodidae
Cypho_purpurascens,Pseudochromidae
Lophiosilurus_alexandri,Pseudopimelodidae
Psilorhynchus_balitora,Psilorhynchidae
Dasycottus_setiger,Psychrolutidae
Ptereleotris_zebra,Ptereleotridae
Ptilichthys_goodei,Ptilichthyidae
Rachycentron_canadum,Rachycentridae
Retropinna_semoni,Retropinnidae
Rhamphocottus_richardsonii,Rhamphocottidae
Protogobius_attiti,Rhyacichthyidae
Salanx_cuvieri,Salangidae
Oncorhynchus_kisutch,Salmonidae
Samariscus_xenicus,Samaridae
Scarus_schlegeli,Scaridae
Scatophagus_argus,Scatophagidae
Schilbe_mystus,Schilbeidae
Micropogonias_furnieri,Sciaenidae
Cololabis_adocetus,Scomberesocidae
Thunnus_alalunga,Scombridae
Scombrolabrax_heterolepis,Scombrolabracidae
Benthalbella_dentata,Scopelarchidae
Scophthalmus_rhombus,Scophthalmidae
Scorpaenopsis_macrochir,Scorpaenidae
Cromileptes_altivelis,Serranidae
Serrivomer_samoensis,Serrivomeridae
Siganus_rivulatus,Siganidae
Sillago_chondropus,Sillaginidae
Phalacronotus_apogon,Siluridae
Bagarius_bagarius,Sisoridae
Pegusa_cadenati,Soleidae
Diplodus_fasciatus,Sparidae
Sphyraena_barracuda,Sphyraenidae
Argyropelecus_aculeatus,Sternoptychidae
Archolaemus_blax,Sternopygidae
Cebidichthys_violaceus,Stichaeidae
Astronesthes_gemmifer,Stomiidae
Peprilus_medius,Stromateidae
Dysomma_anguillare,Synaphobranchidae
Monopterus_albus,Synbranchidae
Syngnathoides_biaculeatus,Syngnathidae
Synodus_ulae,Synodontidae
Leiopotherapon_aheneus,Terapontidae
Tetragonurus_cuvieri,Tetragonuridae
Arothron_immaculatus,Tetraodontidae
Toxotes_chatareus,Toxotidae
