Species name,Group (Order),Age (in Mya),Youngest Age,Environment (terrestrial/aquatic),Source,Body length (m),Body mass (kg),source BM,"Diet (herbivore, omnivore,carnivore, small stuff eater)",Head presence,Head surface,Head projections,Head function,Body presence,Body projections,Body surface,Body function,Tail presence,Tail projections,Tail surface,Tail function,Notes,Habitat or water depth,Geographical Distribution
Dialipina_markae,Actinopterygii,,,,,6.3,,Basden & Young 2001,,,,,,,,,,,,,,,,
Ligulalepis_toombsi,Actinopterygii,,,,,7.3,,Basden & Young 2001,,,,,,,,,,,,,,,,
Dialipina_salgueroensis,Actinopterygii,,,,,12,,Basden & Young 2001,,,,,,,,,,,,,,,,
Cheirolepis_tralli,Actinopterygii,,,,,25,,Frickhinger 1991,,,,,,,,,,,,,,,,
Moythomasia_striatus,Actinopterygii,,,,,15,,Gross 1953,,,,,,,,,,,,,,,,
Donnrosenia_schaefferi,Actinopterygii,,,,,21,,Long et al. 2008,,,,,,,,,,,,,,,,
Howqualepis_rostridens,Actinopterygii,,,,,50,,Long 1988,,,,,,,,,,,,,,,,
Howqualepis_youngorum,Actinopterygii,,,,,14,,Choo 2009,,,,,,,,,,,,,,,,
Stegotrachelus_finlayi,Actinopterygii,,,,,14.6,,Swartz 2009,,,,,,,,,,,,,,,,
Cheirolepis_canadensis,Actinopterygii,,,,,53,,Whitheaves 1887,,,,,,,,,,,,,,,,
Moythomasia_durgaringa,Actinopterygii,,,,,10,,Daeschler 2000,,,,,,,,,,,,,,,,
Moythomasia_nitida,Actinopterygii,,,,,15,,Choo 2011,,,,,,,,,,,,,,,,
Moythomasia_sp.,Actinopterygii,,,,,20,,Choo 2011,,,,,,,,,,,,,,,,
Mimipsicus_toombsi,Actinopterygii,,,,,20,,Choo 2011,,,,,,,,,,,,,,,,
Osorioichthys_marginis,Actinopterygii,,,,,30,,Taverne 1997,,,,,,,,,,,,,,,,
Krasnoyarichthys_jesseni,Actinopterygii,,,,,10,,Prokofiev 2002,,,,,,,,,,,,,,,,
Limnomis_delaneyi,Actinopterygii,,,,,6,,Daeschler 2000,,,,,,,,,,,,,,,,
Cuneognathus_gardineri,Actinopterygii,,,,,12,,Friedman & Blom 2006,,,,,,,,,,,,,,,,
Tegeolepis_clarki,Actinopterygii,,,,,100,,Dunkle & Schaeffer 1973,,,,,,,,,,,,,,,,
Kentuckia_hlavini,Actinopterygii,,,,,10,,Frickhinger 1991,,,,,,,,,,,,,,,,
Gonatodus_brainerdi,Actinopterygii,,,,,40,,Newberry 1889,,,,,,,,,,,,,,,,
Ganolepis_gracilis,Actinopterygii,,,,,5,,Woodward 1893,,,,,,,,,,,,,,,,
Oxypteriscus_minimus,Actinopterygii,,,,,5,,Berg et al. 1967,,,,,,,,,,,,,,,,
Senekichthys_hirundo,Actinopterygii,,,,,10,,Prokofiev 2004,,,,,,,,,,,,,,,,
Ministrella_longicauda,Actinopterygii,,,,,5,,Berg et al. 1967,,,,,,,,,,,,,,,,
Gyrolepitodus_sp.,Actinopterygii,,,,,5,,Berg et al. 1967,,,,,,,,,,,,,,,,
Palaeobergia_microlepis,Actinopterygii,,,,,12,,Berg et al. 1967,,,,,,,,,,,,,,,,
Mansfieldiscus_sweeti,Actinopterygii,,,,,40,,Long 1988,,,,,,,,,,,,,,,,
Novogonatodus_kazantsevae,Actinopterygii,,,,,20,,Long 1988,,,,,,,,,,,,,,,,
Aetheretmon_valentiacum,Actinopterygii,,,,,12,,Smithson et al. 2012,,,,,,,,,,,,,,,,
Strepheoschema_fouldenensis,Actinopterygii,,,,,16,,"Gardiner, 1985",,,,,,,,,,,,,,,,
Fouldenia_ischyptera,Actinopterygii,,,,,12,,"Sallan and Coates, 2013",,,,,,,,,,,,,,,,
Phanerosteon_ovensi,Actinopterygii,,,,,9,,Smithson et al. 2012,,,,,,,,,,,,,,,,
Cosmoptychius_striatus,Actinopterygii,,,,,26,,Traquair 1877,,,,,,,,,,,,,,,,
Rhadinichthys_alberti,Actinopterygii,,,,,9,,Lambe 1910,,,,,,,,,,,,,,,,
Acrolepis_hortonensis,Actinopterygii,,,,,30,,Lambe 1910,,,,,,,,,,,,,,,,
Elonichthys_browni,Actinopterygii,,,,,11,,Hussakof & Bryant 1918,,,,,,,,,,,,,,,,
Mansfieldiscus?_gibbus,Actinopterygii,,,,,10,,Long 1988,,,,,,,,,,,,,,,,
Kentuckia_deani,Actinopterygii,,,,,13,,Berg et al. 1967,,,,,,,,,,,,,,,,
Benedenius_deenensis,Actinopterygii,,,,,29,,Boulenger 1899,,,,,,,,,,,,,,,,
Adroichthys_tuberculatus,Actinopterygii,,,,,10,,Gardiner 1969,,,,,,,,,,,,,,,,
Mentzichthys_jubbi,Actinopterygii,,,,,40,,Gardiner 1969,,,,,,,,,,,,,,,,
Mentzichthys_maraisi,Actinopterygii,,,,,18,,Gardiner 1969,,,,,,,,,,,,,,,,
Mentzichthys_theroni,Actinopterygii,,,,,12,,Gardiner 1969,,,,,,,,,,,,,,,,
Aestaurichthys_fulcratus,Actinopterygii,,,,,10.5,,Gardiner 1969,,,,,,,,,,,,,,,,
Soetendalichthys_cromptoni,Actinopterygii,,,,,21,,Gardiner 1969,,,,,,,,,,,,,,,,
Australichthys_longidorsalis,Actinopterygii,,,,,15,,Gardiner 1969,,,,,,,,,,,,,,,,
Willomorichthys_striatulus,Actinopterygii,,,,,25,,Gardiner 1969,,,,,,,,,,,,,,,,
Sundayichthys_cromptoni,Actinopterygii,,,,,10,,Gardiner 1969,,,,,,,,,,,,,,,,
Dwykia_anaensis,Actinopterygii,,,,,12,,Gardiner 1969,,,,,,,,,,,,,,,,
