Species name,Group (Order),Stage bin,Age (in Mya),Youngest Age,Environment (terrestrial/aquatic),Source,Body length (m),Body mass (kg),source BM,"Diet (herbivore, omnivore,carnivore, small stuff eater)",Head presence,Head surface,Head projections,Head function,Body presence,Body projections,Body surface,Body function,Tail presence,Tail projections,Tail surface,Tail function,0tes,Habitat or water depth,Geographical Distribution
Tanypterichthys_pridensis,Actinopterygii,Serpukhovian,,,,,50,,Weems & Windolph 1986,,1,0,1,Plates,0,NA,NA,Covered in scales,?,?,?,?,Tail missing,,
Cryphiolepis_striatus,Actinopterygii,Serpukhovian,,,,,12,,Traquair 1881,,1,0,1,Plates,0,NA,NA,Covered in scales,0,NA,NA,NA,,,
Fubarichthys_copiosus,Actinopterygii,Serpukhovian,,,,,10,,"Lowney, 1980",,,,,,,,,,,,,,Can't find,,
Apholidotus_ossna,Actinopterygii,Serpukhovian,,,,,8,,Frickhinger 1991,,,,,,,,,,,,,,Can't find,,
Elonichthys_obliquuis,Actinopterygii,Serpukhovian,,,,,15,,Wellburn 1903,,1,0,1,Plates,0,NA,NA,Covered in scales,0,NA,NA,NA,,,
Lineagruan_judithi,Actinopterygii,Serpukhovian,,,,,9.5,,Mickle et al. 2009,,1,0,1,Plates,0,NA,NA,Covered in scales,0,NA,NA,NA,,,
Lineagruan_snowyi,Actinopterygii,Serpukhovian,,,,,12.3,,Mickle et al. 2009,,1,0,1,Plates,0,NA,NA,Covered in scales,0,NA,NA,NA,,,
Beagiascus_pulcherrimus,Actinopterygii,Serpukhovian,,,,,10,,Mickle et al. 2009,,1,0,1,Plates,0,NA,NA,Covered in scales,0,NA,NA,NA,,,
Atracauda_lundi,Actinopterygii,Serpukhovian,,,,,13,,Frickhinger 1991,,,,,,,,,,,,,,Can't find,,
Bourbonella_jocelynae,Actinopterygii,Serpukhovian,,,,,3,,Mickle 2011,,1,0,1,Plates,0,NA,NA,Covered in scales,?,?,?,?,Tail missing,,
Guntherichthys_lehiensis,Actinopterygii,Serpukhovian,,,,,7.5,,Mickle 2011,,1,0,1,Plates,0,NA,NA,Covered in scales,0,NA,NA,NA,,,
Spinofacia_pectinatus,Actinopterygii,Serpukhovian,,,,,10,,Mickle 2011,,1,0,1,Plates,0,NA,NA,Covered in scales,0,NA,NA,NA,,,
Prohapolepis_scotica,Actinopterygii,Serpukhovian,,,,,4,,Lowney 1983,,1,0,1,Plates,0,NA,NA,Covered in scales,0,NA,NA,NA,,,
Blairolepis_loanheadensis,Actinopterygii,Serpukhovian,,,,,4.5,,Lowney 1983,,1,0,1,Plates,?,?,?,?,?,?,?,?,Just a head shield,,
Promesacanthus_eppleri,Acanthodii,Lochkovian,,,,,3,,Hanke 2008a,,0,NA,NA,NA,1,1,0,Fin spines,0,NA,NA,NA,,,
Gladiobranchus_probaton,Acanthodii,Lochkovian,,,,,11,,Hanke 2008b,,0,NA,NA,NA,1,1,0,Fin spines,0,NA,NA,NA,,,
