Species name,Group (Order),Stage bin,Age (in Mya),Youngest Age,Environment (terrestrial/aquatic),Source,Body length (m),Body mass (kg),source BM,"Diet (herbivore, omnivore,carnivore, small stuff eater)",Head presence,Head surface,Head projections,Head function,Body presence,Body projections,Body surface,Body function,Tail presence,Tail projections,Tail surface,Tail function,Notes,Habitat or water depth,Geographical Distribution
Devononchus_tenusipinus,Acanthodii,Famennian,,,,,4,,Derycke & Clement 2002,,?,?,?,?,Yes,Yes,?,?,?,?,?,?,Isolated spine bits,,
Grenfellacanthus_zerinae,Acanthodii,Famennian,,,,,76,,Long et al. 2004,,?,?,?,?,?,?,?,?,?,?,?,?,,,
Acanthodes_lopatini,Acanthodii,Famennian-Tournaisian,,,,,12,,Beznosov 2009,,No,NA,NA,NA,Yes,Yes,No,Fin spines,No,NA,NA,NA,,,
Acanthodes_dublinensis,Acanthodii,Famennian,,,,,30,,Denison 1979,,No,NA,NA,NA,Yes,Yes,No,Fin spines,No,NA,NA,NA,,,
Acanthodes_ovensis,Acanthodii,Tournaisian,,,,,8.7,,Dineley 1999,,No,NA,NA,NA,Yes,Yes,No,Fin spines,No,NA,NA,NA,,,
Acanthodes_australis,Acanthodii,Tournaisian,,,,,30,,Beznosov 2009,,No,NA,NA,NA,Yes,Yes,No,Fin spines,No,NA,NA,NA,,,
Gyracanthus_falciformis,Acanthodii,Tournaisian,,,,,90,,Wells 1943,,?,?,?,?,Yes,Yes,?,Fin spines,?,?,?,?,Isolated spine,,
Gyracanthus_compressus,Acanthodii,Tournaisian,,,,,200,,McCoy 1854,,?,?,?,?,Yes,Yes,?,Fin spines,?,?,?,?,Isolated spine,,
Gyracanthus_alleni,Acanthodii,Tournaisian,,,,,100,,Newberry et al. 1870,,?,?,?,?,Yes,Yes,?,Fin spines,?,?,?,?,Isolated spine,,
Gyracanthus_magnificus,Acanthodii,Tournaisian,,,,,300,,Traquair 1902,,?,?,?,?,Yes,Yes,?,Fin spines,?,?,?,?,Isolated spine,,
Gyracanthus_obliquus,Acanthodii,Tournaisian,,,,,200,,Traquair 1902,,?,?,?,?,Yes,Yes,?,Fin spines,?,?,?,?,Isolated spine,,
Gyracanthides_murrayi,Acanthodii,Tournaisian,,,,,50,,Denison 1979,,No,NA,NA,NA,Yes,Yes,No,"Fin spines - Also has plate like things, but probably just flat spines",No,NA,NA,NA,,,
Oracanthus_milleri,Acanthodii,Tournaisian-Serpukhovian,,,,,250,,Denison 1979,,?,?,?,?,Yes,Yes,?,Fin spines,?,?,?,?,Isolated spine,,
Oracanthus_pustulosus,Acanthodii,Tournaisian,,,,,65,,Patterson 1965,,?,?,?,?,Yes,Yes,?,Fin spines,?,?,?,?,Isolated spine,,
Antacanthus_insignis,Acanthodii,Tournaisian-Visean,,,,,300,,Denison 1979,,?,?,?,?,Yes,Yes,?,Fin spines,?,?,?,?,Isolated spine,,
Acanthodes_nitidus,Acanthodii,Visean,,,,,30,,Watson 1937,,No,NA,NA,NA,Yes,Yes,No,Fin spines,No,NA,NA,NA,,,
Gyracanthides_hawkinsi,Acanthodii,Visean,,,,,100,,Turner et al. 2005,,No,NA,NA,NA,Yes,Yes,No,Fin spines,No,NA,NA,NA,,,
Homacanthus_macrodus,Acanthodii,Visean,,,,,12,,McCoy 1848,,?,?,?,?,Yes,Yes,?,Fin spines,?,?,?,?,Isolated spine,,
Homacanthus_microdus,Acanthodii,Visean,,,,,18,,McCoy 1848,,?,?,?,?,Yes,Yes,?,Fin spines,?,?,?,?,Isolated spine,,
Oracanthus_triangularis,Acanthodii,Visean,,,,,150,,Denison 1979,,?,?,?,?,Yes,Yes,?,Fin spines,?,?,?,?,Isolated spine,,
Oracanthus_vetustus,Acanthodii,Visean,,,,,250,,Leidy 1856,,?,?,?,?,Yes,Yes,?,Fin spines,?,?,?,?,Isolated spine,,
Gyracanthus_rectus,Acanthodii,Visean,,,,,260,,Wells 1943,,?,?,?,?,Yes,Yes,?,Fin spines,?,?,?,?,Isolated spine,,
Acanthodopsis_russelli,Acanthodii,Visean,,,,,37,,Burrow 2004,,No,NA,NA,NA,Yes,Yes,?,Fin spines,?,?,?,?,Disarticulated bits of jaws and shoulder girdle,,
Acanthodes_sulcatus,Acanthodii,Visean-Serpukhovian,,,,,30,,Watson 1937,,No,NA,NA,NA,Yes,Yes,No,Fin spines,No,NA,NA,NA,,,
Acanthodes_lundi,Acanthodii,Serpukhovian,,,,,40,,Zidek 1980,,No,NA,NA,NA,Yes,Yes,No,Fin spines,No,NA,NA,NA,,,
Acanthodes_wardi,Acanthodii,Serpukhovian,,,,,25,,Denison 1979,,No,NA,NA,NA,Yes,Yes,No,Fin spines,No,NA,NA,NA,,,
Aganacanthus_striatulus,Acanthodii,Serpukhovian,,,,,90,,Denison 1979,,?,?,?,?,Yes,Yes,?,Fin spines,?,?,?,?,Isolated spine,,
Gyracanthus_youngi,Acanthodii,Serpukhovian,,,,,370,,Traquair 1884,,?,?,?,?,Yes,Yes,?,Fin spines,?,?,?,?,Isolated spine,,
Gyracanthus_nobilis,Acanthodii,Serpukhovian,,,,,190,,Traquair 1884,,?,?,?,?,Yes,Yes,?,Fin spines,?,?,?,?,Isolated spine,,
Marsdenius_sumiti,Acanthodii,Serpukhovian,,,,,10,,Denison 1979,,No,NA,NA,NA,Yes,Yes,No,Fin spines,No,NA,NA,NA,,,
Marsdenius_acuta,Acanthodii,Serpukhovian,,,,,7,,Denison 1979,,No,NA,NA,NA,Yes,Yes,No,Fin spines,No,NA,NA,NA,,,
Protopteraspis_gosseletti,Agnatha,Lochkovian,,,,,21,,Dineley 1999,,,,,,,,,,,,,,,,
Poraspis_polaris,Agnatha,Lochkovian,,,,,13,,Dineley 1999,,,,,,,,,,,,,,,,
Poraspis_sericea,Agnatha,Lochkovian,,,,,20,,Dineley 1999,,,,,,,,,,,,,,,,
Poraspis_rostrata,Agnatha,Lochkovian,,,,,18,,Elliott and Petriello 2011,,,,,,,,,,,,,,,,
Cephalaspis_powrei,Agnatha,Lochkovian,,,,,12,,Frickhinger 1991,,,,,,,,,,,,,,,,
Cephalaspis_cradleyensis,Agnatha,Lochkovian,,,,,12,,Dineley 1999,,,,,,,,,,,,,,,,
Cephalaspis_cwmmillensis,Agnatha,Lochkovian,,,,,11,,Dineley 1999,,,,,,,,,,,,,,,,
Cephalaspis_abergavenniensis,Agnatha,Lochkovian,,,,,21,,Dineley 1999,,,,,,,,,,,,,,,,
Cephalaspis_pagei,Agnatha,Lochkovian,,,,,,,Dineley 1999,,,,,,,,,,,,,,,,
Cephalaspis_lyelli,Agnatha,Lochkovian,,,,,,,Moy-Thomas & Miles 1971,,,,,,,,,,,,,,,,
Cephalaspis_toombsi,Agnatha,Lochkovian,,,,,30,,White 1935,,,,,,,,,,,,,,,,
Cephalaspis_waynensis,Agnatha,Lochkovian,,,,,27,,White 1935,,,,,,,,,,,,,,,,
Cephalaspis_virgoi,Agnatha,Lochkovian,,,,,28,,White 1935,,,,,,,,,,,,,,,,
Turinia_pagei,Agnatha,Lochkovian,,,,,32,,Frickhinger 1991,,,,,,,,,,,,,,,,
