Species name,Group (Order),Stage bin,Age (in Mya),Youngest Age,Environment (terrestrial/aquatic),Source,Body length (m),Body mass (kg),source BM,"Diet (herbivore, omnivore,carnivore, small stuff eater)",Head presence,Head surface,Head projections,Head function,Body presence,Body projections,Body surface,Body function,Tail presence,Tail projections,Tail surface,Tail function,Notes,Habitat or water depth,Geographical Distribution
Psammolepis_proia,Agnatha,Eifelian-Givetian,,,,,101,,Elliott & Mark-Kurik 2005,small stuff,1,1,?,Head shield,?,?,?,?,?,?,?,?,"Other species of Psammosteus have spines along the head and tail, but here are not preserved (preserved only the ""central"" part of the head",,
Psammolepis_undulata,Agnatha,Eifelian-Givetian,,,,,56,,Elliott & Mark-Kurik 2005,small stuff,1,1,?,?head shield,?,?,?,?,?,?,?,?,same as above,,
Clarorbis_apponomedianus,Agnatha,Eifelian,,,,,20,,Pan & Ji 1993,small stuff,1,1,1,posteriorly directed projections at the of the head shield,0,0,0,0,0,0,0,0,Galeaspid,,
Rhinopteraspis_cornubica,Agnatha,Eifelian,,,,,14,,Tarlo 1961,small stuff,1,1,1,very long posteriorly directed project at the end of the shield,0,0,0,0,0,0,0,0,Pteraspidiformes,,
Trewinia_magnifica,Agnatha,Eifelian-Frasnian,,,,,60,,Moy-Thomas & Miles 1971,small stuff,1,1,1,cornua (pectoral fin projection on the head shield),0,0,0,0,0,0,0,0,"Osteostracan renamed Trewinia magnifica by Janvier  and Newman 2004 (formerly Chepalaspis magnifica, Traquair 1893)",,
Cornovichthys_blaauweni,Agnatha,Eifelian,,,,,12,,Newman & Trewin 2001,small stuff,0,0,0,NA,0,0,0,0,0,0,0,0,Anaspid,,
Psammosteus_bergi,Agnatha,Givetian,,,,,98,,Elliott & Mark-Kurik 2005,small stuff,1,1,?,?,?,?,?,?,?,?,?,?,"Other species of Psammosteus have spines along the head and tail, but here are not preserved (preserved only the ""central"" part of the head",,
Schizosteus_shkurlatensis,Agnatha,Givetian,,,,,39,,Moloshnikov 2009,small stuff,1,1,1,Head shield,?,?,?,?,?,?,?,?,"All those psammosteids have projection at the end of the headshiled, alhough it is difficult to say if it is for defence. In some species, like this one, those projection are very small and smooth",,
Tartuosteus_zhelezniogerskensis,Agnatha,Frasnian,,,,,56,,Moloshnikov 2007,small stuff,1,1,1,Big projection lateral to head schiled,?,?,?,?,?,?,?,?,Psammosteid with big projection,,
Alaspis_rosamundae,Agnatha,Frasnian,,,,,180,,Janvier & Arsenault 1996,small stuff,1,1,1,cornua (pectoral fin projection on the head shield),0,0,0,0,0,0,0,0,Osteostracan ,,
Escuminaspis_laticeps,Agnatha,Frasnian,,,,,38,,Janvier et al. 2004,small stuff,1,1,1,cornua (pectoral fin projection on the head shield),?,?,?,?,?,?,?,?,Osteostracan,,
Aspidosteus_heckeri,Agnatha,Frasnian,,,,,100,,Obruchev 1967,small stuff,1,1,?,head shield,?,?,?,?,?,?,?,?,Psammosteid   ,,
Obruchevia_heckleri,Agnatha,Frasnian,,,,,140,,Elliott et al. 2004,small stuff,1,1,1,Head shield,?,?,?,?,?,?,?,?,Psammosteid similar to Schizosteus,,
Perscheia_pulla,Agnatha,Frasnian,,,,,49,,Elliott et al. 2004,small stuff,1,1,1,Head shield,?,?,?,?,?,?,?,?,Psammosteid similar to Obruchevia,,
Legendrelepis_parenti,Agnatha,Frasnian,,,,,8.5,,Janvier 1996,small stuff,0,0,0,NA,0,0,0,0,0,0,0,0,Anaspid,,
Eupanerops_longaevus,Agnatha,Frasnian,,,,,10,,Janvier 1996,small stuff,0,0,0,NA,0,0,0,0,0,0,0,0,Anaspid,,
Endeiolepis_aneri,Agnatha,Frasnian,,,,,16,,Janvier 1996,small stuff,0,0,0,NA,0,0,0,0,0,0,0,0,Anaspid,,
Levesquaspis_patteni,Agnatha,Frasnian,,,,,10,,Robertson 1936,small stuff,1,1,0,cornua (pectoral fin projection on the head shield),?,?,?,?,?,?,?,?,Osteostracan,,
Kujdanwiaspis_podolica,Placodermi,Lochkovian-Pragian,,,,,15,,Dupret et al. 2010,likely carnivor,1,1,0,Head shield,1,1,1,Body armour with fin spine,?,?,?,?,Arthrodiran placoderm,,
Wheathillaspis_wickhamkingi,Placodermi,Lochkovian,,,,,20,,Denison 1978,"not many information on that one, it is known from small incomplete specimen",1,1,?,?,1,1,1,Body armour with fin spine,?,?,?,?,Arthrodiran placoderm,,
Heightingtonaspis_anglica,Placodermi,Lochkovian,,,,,30,,Denison 1978,likely carnivor,1,1,0,Head shield,1,1,1,Body armour with fin spine,?,?,?,?,Arthrodiran placoderm,,
Heightingtonaspis_willsi,Placodermi,Lochkovian,,,,,50,,Denison 1978,likely carnivor,1,1,0,Head shield,1,1,1,Body armour with fin spine,?,?,?,?,Arthrodiran placoderm,,
Heightingtonaspis_clarkei,Placodermi,Lochkovian,,,,,20,,Denison 1978,likely carnivor,1,1,0,Head shield,1,1,1,Body armour with fin spine,?,?,?,?,Arthrodiran placoderm,,
Erikaspis_zychi,Placodermi,Lochkovian,,,,,50,,Dupret et al. 2007,likely carnivor,1,1,0,Head shield,1,1,1,Body armour with fin spine,?,?,?,?,Arthrodiran placoderm,,
Palaeacanthaspis_vasta,Placodermi,Lochkovian,,,,,20,,"Brotzen, 1934",?,1,1,0,Head shield,1,1,1,Dorsal spine,?,?,?,?,"""Acanthothoracid"" poorly known, good shoulder girdle though",,
Hagiangella_goujeti,Placodermi,Lochkovian,,,,,7,,Dupret et al. 2011,?,1,1,0,Head shield,?,?,?,?,?,?,?,?,"""Acanthothoracid"" placoderm - I think it is a ptyctodont, but it is not important",,
