Species name,Group (Order),Stage bin,Age (in Mya),Youngest Age,Environment (terrestrial/aquatic),Source,Body length (m),Body mass (kg),source BM,"Diet (herbivore, omnivore,carnivore, small stuff eater)",Head presence,Head surface,Head projections,Head function,Body presence,Body projections,Body surface,Body function,Tail presence,Tail projections,Tail surface,Tail function,Notes,Habitat or water depth,Geographical Distribution
Cathlorhynchus_trismodipterus,Sarcopterygii,Emsian,,,,,28,,Campbell et al. 2009,,,,,,,,,,,,,,,,
Erikia_jarviki,Sarcopterygii,Emsian,,,,,15,,Chang & Wang 1995,,,,,,,,,,,,,,,,
Tarachomylax_oepiki,Sarcopterygii,Emsian,,,,,17,,Barwick et al. 1997,,,,,,,,,,,,,,,,
New Osteolepiform_sp.,Sarcopterygii,Emsian-Eifelian,,,,,24,,Hunt & Young 2012,,,,,,,,,,,,,,,,
Melanognathus_canadensis,Sarcopterygii,Emsian,,,,,36,,Schultze 2001,,,,,,,,,,,,,,,,
Nasogaluakus_chorni,Sarcopterygii,Emsian,,,,,51,,Schultze 2000,,,,,,,,,,,,,,,,
Sorbitohynchus_deleaslkitus,Sarcopterygii,Emsian,,,,,76,,Wang et al. 1990,,,,,,,,,,,,,,,,
Kenichthys_campbelli,Sarcopterygii,Emsian,,,,,10,,Zhao & Zhu 2010,,,,,,,,,,,,,,,,
Porolepis_brevis,Sarcopterygii,Eifelian,,,,,20,,Frickhinger 1991,,,,,,,,,,,,,,,,
Dipterus_valenciennessii,Sarcopterygii,Eifelian-Frasnian,,,,,30,,Frickhinger 1991,,,,,,,,,,,,,,,,
Gyroptychius_agassizi,Sarcopterygii,Eifelian-Givetian,,,,,30,,Frickhinger 1991,,,,,,,,,,,,,,,,
Glyptolepis_paucidens,Sarcopterygii,Eifelian-Givetian,,,,,62,,Frickhinger 1991,,,,,,,,,,,,,,,,
Glyptolepis_leptopterus,Sarcopterygii,Eifelian-Givetian,,,,,70,,Vorobyeva 2006,,,,,,,,,,,,,,,,
Thursius_macrolepidotus,Sarcopterygii,Eifelian,,,,,12,,Dineley 1999,,,,,,,,,,,,,,,,
