Species name,Group,Source,Age (in Mya),Envronement (terrestrial/aquatic),Body length (m),Body mass (kg),"Diet (herbivore, omnivore,carnivore, small stuff eater)",Head presence,Head projections,Head surface,Head function,Body presence,Body projections,Body surface,Body function,Tail presence,Tail projections,Tail surface,Tail function,notes
Atractosteus_strausi,Osteichthyes,,,,,,,,,,,,,,,,,,,
Masillosteus_kelleri,Osteichthyes,,,,,,,,,,,,,,,,,,,
Cyclurus_kehreri,Osteichthyes,,,,,,,,,,,,,,,,,,,
Thaumaturus_intermedius,Osteichthyes,,,,,,,,,,,,,,,,,,,
Anguilla_ignota,Osteichthyes,,,,,,,,,,,,,,,,,,,
Amphiperca_multiformes,Osteichthyes,,,,,,,,,,,,,,,,,,,
Palaeoperca_proxima,Osteichthyes,,,,,,,,,,,,,,,,,,,
Rhenanoperca_minuta,Osteichthyes,,,,,,,,,,,,,,,,,,,
Chelotriton_robustus,Amphibia,,,,,,,,,,,,,,,,,,,
Eopelobates_wagneri,Amphibia,,,,,,,,,,,,,,,,,,,
Messelobatrachus_tobieni,Amphibia,,,,,,,,,,,,,,,,,,,
Lutetiobatrachus_gracilis,Amphibia,,,,,,,,,,,,,,,,,,,
Xenopidae,Amphibia,,,,,,,,,,,,,,,,,,,
Francellia_messeliana,Testudines,,,,,,,,,,,,,,,,,,,
Euroemys_kehreri,Testudines,,,,,,,,,,,,,,,,,,,
Allaeochelys_crassesculptata,Testudines,,,,,,,,,,,,,,,,,,,
Juvemys,Testudines,,,,,,,,,,,,,,,,,,,
Trionyx_messelianus,Testudines,,,,,,,,,,,,,,,,,,,
Neochelys_franzeni,Testudines,,,,,,,,,,,,,,,,,,,
Diplocynodon_darwini,Crocodylia,,,,,,,,,,,,,,,,,,,
Baryphracta_deponiae,Crocodylia,,,,,,,,,,,,,,,,,,,
Asiatosuchus_germanicus,Crocodylia,,,,,,,,,,,,,,,,,,,
Allognathosuchus_haupti,Crocodylia,,,,,,,,,,,,,,,,,,,
Pristichampsus_rollinatii,Crocodylia,,,,,,,,,,,,,,,,,,,
Bergisuchus_dietrichbergi,Crocodylia,,,,,,,,,,,,,,,,,,,
Tomastomidea,Crocodylia,,,,,,,,,,,,,,,,,,,
Lacertilia_indet,Squamata,,,,,,,,,,,,,,,,,,,
Xestops_abderhaldeni,Squamata,,,,,,,,,,,,,,,,,,,
Ophisauriscus_quadrupes,Squamata,,,,,,,,,,,,,,,,,,,
Saniwa_feisti,Squamata,,,,,,,,,,,,,,,,,,,
Eolacerta_robusta,Squamata,,,,,,,,,,,,,,,,,,,
Geiseltaliellus_longicaudus,Squamata,,,,,,,,,,,,,,,,,,,
Scincomorpha_sp.,Squamata,,,,,,,,,,,,,,,,,,,
Palaeopython_fischeri,Serpentes,,,,,,,,,,,,,,,,,,,
Paleryx,Serpentes,,,,,,,,,,,,,,,,,,,
Messelophis_variatus,Serpentes,,,,,,,,,,,,,,,,,,,
Messelophis_ermannorum,Serpentes,,,,,,,,,,,,,,,,,,,
Tropidopheinae,Serpentes,,,,,,,,,,,,,,,,,,,
Erycinae,Serpentes,,,,,,,,,,,,,,,,,,,
Aniliid,Serpentes,,,,,,,,,,,,,,,,,,,
Palaeotis_weigelti,Aves,,,,,,,,,,,,,,,,,,,
Paraortygoides_messelensis,Aves,,,,,,,,,,,,,,,,,,,
Gastornis_geiselensis,Aves,,,,,,,,,,,,,,,,,,,
Juncitarsus_merkeli,Aves,,,,,,,,,,,,,,,,,,,
Masillastega_rectirostris,Aves,,,,,,,,,,,,,,,,,,,
Rhynchaeites_messelensis,Aves,,,,,,,,,,,,,,,,,,,
Messelornis_cristata,Aves,,,,,,,,,,,,,,,,,,,
Aenigmavis_sapea,Aves,,,,,,,,,,,,,,,,,,,
Salmila_robusta,Aves,,,,,,,,,,,,,,,,,,,
Idiornis_tuberculata,Aves,,,,,,,,,,,,,,,,,,,
Idiornis_itardiensis,Aves,,,,,,,,,,,,,,,,,,,
Pumiliornis_tessellatus,Aves,,,,,,,,,,,,,,,,,,,
Charadriiformes indet.,Aves,,,,,,,,,,,,,,,,,,,
Messelastur_gratulator,Aves,,,,,,,,,,,,,,,,,,,
Pseudasturides_macrocephalus,Aves,,,,,,,,,,,,,,,,,,,
Serudaptus_pohli,Aves,,,,,,,,,,,,,,,,,,,
Psittacopes_lepidus,Aves,,,,,,,,,,,,,,,,,,,
Palaeoglaux_artophoron,Aves,,,,,,,,,,,,,,,,,,,
Eoglaucidium_pallas,Aves,,,,,,,,,,,,,,,,,,,
Eoglaucidium_sp.,Aves,,,,,,,,,,,,,,,,,,,
