PaleoDB_taxon_no,taxon_name,phylum,class,order,family,fad_int,fad_age,lad_int,lad_age,size_ref,range_ref,log10_volume,log10_max_length
35826,Analectis,Chordata,Actinopterygii,Lampridiformes,,Rupelian,33.9,Rupelian,28.1,58,24,3.208431428,1.698970004
35827,Ateleopus,Chordata,Actinopterygii,Lampridiformes,,Langhian,15.97,Holocene,0,100,24,6.879591919,2.977723605
35828,Bajaichthys,Chordata,Actinopterygii,Lampridiformes,,Lutetian,47.8,Bartonian,38,58,24,2.930213474,1.602059991
35832,Lampris,Chordata,Actinopterygii,Lampridiformes,,Tortonian,11.62,Holocene,0,100,24,8.406057899,3.301029996
35834,Protolophotus,Chordata,Actinopterygii,Lampridiformes,,Rupelian,33.9,Holocene,0,58,24,5.861935273,2.62324929
35835,Turkmene,Chordata,Actinopterygii,Lampridiformes,,Thanetian,59.2,Thanetian,56,58,24,4.191489162,2.041392685
35836,Velifer,Chordata,Actinopterygii,Lampridiformes,,Lutetian,47.8,Bartonian,38,100,24,5.801103134,2.602059991
35638,Asineops,Chordata,Actinopterygii,,,Thanetian,59.2,Bartonian,38,58,24,4.399774122,2.113943352
35639,Blochius,Chordata,Actinopterygii,,,Lutetian,47.8,Bartonian,38,58,24,6.306641709,2.77815125
35643,Homorhynchus,Chordata,Actinopterygii,,,Lutetian,47.8,Rupelian,28.1,58,24,6.680815577,2.908485019
35645,Palaeorhynchus,Chordata,Actinopterygii,,,Lutetian,47.8,Burdigalian,15.97,58,24,6.306641709,2.77815125
35646,Pharmacichthys,Chordata,Actinopterygii,,,Cenomanian,100.5,Cenomanian,93.3,58,24,2.930213474,1.602059991
35128,Acipenser,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,Campanian,83.6,Holocene,0,100,24,8.886384293,3.785329835
35129,Huso,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,Zanclean,5.333,Holocene,0,100,24,9.291083886,3.748188027
31393,Compsaster,Echinodermata,Asteroidea,Platyasterida,Compsasteridae,Emsian,407.6,Serpukhovian,323.2,53,24,4.175955658,1.540329475
31381,Hystrigaster,Echinodermata,Asteroidea,Hemizonida,Helianthasteridae,Emsian,407.6,Emsian,393.3,53,24,4.504212824,1.661244609
31385,Palaeosolaster,Echinodermata,Asteroidea,Hemizonida,Palasterinidae,Emsian,407.6,Emsian,393.3,53,24,5.868004151,2.163603822
31387,Taeniactis,Echinodermata,Asteroidea,Hemizonida,Taeniactinidae,Rhuddanian,443.4,Telychian,433.4,53,24,3.332353007,1.20808288
31391,Calliasterella,Echinodermata,Asteroidea,Platyasterida,Calliasterellidae,Moscovian,315.2,Kasimovian,303.7,53,24,6.124697824,2.258158193
31346,Schuchertia,Echinodermata,Asteroidea,Platyasterida,Urasterellidae,Sandbian,458.4,Homerian,427.4,53,24,3.417189681,1.260834312
31404,Urasterella,Echinodermata,Asteroidea,Platyasterida,Urasterellidae,Darriwilian,467.3,Moscovian,307,53,24,4.728607673,1.74390155
31344,Palasteriscus,Echinodermata,Asteroidea,Platyasterida,Palasteriscidae,Emsian,407.6,Emsian,393.3,53,24,4.898735974,1.806569143
31345,Platanaster,Echinodermata,Asteroidea,Platyasterida,Palasteriscidae,Sandbian,458.4,Sandbian,453,53,24,4.261155993,1.571713435
31352,Coccaster,Echinodermata,Asteroidea,Pustulosida,Hudsonasteridae,Sheinwoodian,433.4,Ludfordian,423,53,24,2.276510058,0.840659388
